Orthogroup	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
OG0010643	dis_TRINITY_DN10379_c0_g1.p2		
OG0010644	dis_TRINITY_DN1038_c0_g1.p2		
OG0010645	dis_TRINITY_DN1038_c0_g2.p2		
OG0010646	dis_TRINITY_DN10392_c0_g1.p1		
OG0010647	dis_TRINITY_DN1040_c0_g4.p1		
OG0010648	dis_TRINITY_DN104197_c0_g1.p3		
OG0010649	dis_TRINITY_DN10435_c0_g1.p2		
OG0010650	dis_TRINITY_DN10442_c0_g1.p3		
OG0010651	dis_TRINITY_DN10444_c0_g2.p1		
OG0010652	dis_TRINITY_DN10452_c0_g1.p3		
OG0010653	dis_TRINITY_DN10457_c0_g1.p2		
OG0010654	dis_TRINITY_DN10467_c0_g1.p2		
OG0010655	dis_TRINITY_DN10471_c0_g2.p1		
OG0010656	dis_TRINITY_DN10472_c0_g1.p2		
OG0010657	dis_TRINITY_DN10477_c0_g1.p2		
OG0010658	dis_TRINITY_DN10483_c0_g3.p2		
OG0010659	dis_TRINITY_DN10484_c0_g1.p2		
OG0010660	dis_TRINITY_DN10493_c0_g3.p2		
OG0010661	dis_TRINITY_DN104_c0_g2.p3		
OG0010662	dis_TRINITY_DN10509_c0_g4.p1		
OG0010663	dis_TRINITY_DN1056_c0_g1.p2		
OG0010664	dis_TRINITY_DN10579_c0_g1.p1		
OG0010665	dis_TRINITY_DN1057_c0_g1.p2		
OG0010666	dis_TRINITY_DN10606_c0_g2.p3		
OG0010667	dis_TRINITY_DN10617_c0_g3.p1		
OG0010668	dis_TRINITY_DN10634_c0_g4.p1		
OG0010669	dis_TRINITY_DN10643_c0_g1.p2		
OG0010670	dis_TRINITY_DN10687_c1_g3.p3		
OG0010671	dis_TRINITY_DN10698_c2_g1.p1		
OG0010672	dis_TRINITY_DN106_c0_g1.p2		
OG0010673	dis_TRINITY_DN106_c0_g2.p2		
OG0010674	dis_TRINITY_DN1070_c0_g8.p2		
OG0010675	dis_TRINITY_DN10718_c0_g1.p2		
OG0010676	dis_TRINITY_DN1073_c0_g3.p2		
OG0010677	dis_TRINITY_DN1073_c0_g3.p10		
OG0010678	dis_TRINITY_DN10746_c0_g2.p2		
OG0010679	dis_TRINITY_DN10759_c0_g1.p2		
OG0010680	dis_TRINITY_DN10818_c0_g1.p4		
OG0010681	dis_TRINITY_DN1081_c0_g1.p1		
OG0010682	dis_TRINITY_DN1081_c4_g2.p3		
OG0010683	dis_TRINITY_DN10835_c0_g2.p1		
OG0010684	dis_TRINITY_DN10838_c0_g1.p2		
OG0010685	dis_TRINITY_DN1084_c0_g1.p1		
OG0010686	dis_TRINITY_DN10851_c0_g1.p2		
OG0010687	dis_TRINITY_DN10859_c0_g1.p2		
OG0010688	dis_TRINITY_DN108888_c0_g1.p3		
OG0010689	dis_TRINITY_DN108926_c0_g1.p2		
OG0010690	dis_TRINITY_DN10894_c0_g1.p4		
OG0010691	dis_TRINITY_DN10901_c1_g2.p1		
OG0010692	dis_TRINITY_DN109071_c0_g1.p3		
OG0010693	dis_TRINITY_DN109092_c0_g1.p2		
OG0010694	dis_TRINITY_DN10909_c0_g1.p2		
OG0010695	dis_TRINITY_DN10913_c0_g1.p2		
OG0010696	dis_TRINITY_DN10930_c0_g1.p2		
OG0010697	dis_TRINITY_DN109430_c0_g1.p2		
OG0010698	dis_TRINITY_DN10948_c0_g1.p1		
OG0010699	dis_TRINITY_DN10955_c0_g1.p2		
OG0010700	dis_TRINITY_DN109699_c0_g1.p2		
OG0010701	dis_TRINITY_DN109736_c0_g1.p1		
OG0010702	dis_TRINITY_DN1097_c0_g1.p2		
OG0010703	dis_TRINITY_DN10985_c0_g1.p1		
OG0010704	dis_TRINITY_DN10998_c0_g1.p2		
OG0010705	dis_TRINITY_DN1100_c0_g1.p2		
OG0010706	dis_TRINITY_DN1101_c0_g1.p2		
OG0010707	dis_TRINITY_DN1102_c0_g2.p2		
OG0010708	dis_TRINITY_DN1102_c0_g3.p2		
OG0010709	dis_TRINITY_DN11030_c0_g1.p2		
OG0010710	dis_TRINITY_DN11033_c0_g1.p1		
OG0010711	dis_TRINITY_DN11044_c0_g1.p2		
OG0010712	dis_TRINITY_DN11050_c0_g1.p2		
OG0010713	dis_TRINITY_DN110703_c0_g1.p2		
OG0010714	dis_TRINITY_DN110755_c0_g1.p2		
OG0010715	dis_TRINITY_DN11076_c0_g1.p2		
OG0010716	dis_TRINITY_DN11082_c0_g2.p1		
OG0010717	dis_TRINITY_DN110926_c0_g1.p2		
OG0010718	dis_TRINITY_DN11100_c0_g1.p2		
OG0010719	dis_TRINITY_DN11104_c0_g5.p1		
OG0010720	dis_TRINITY_DN111119_c0_g1.p1		
OG0010721	dis_TRINITY_DN111129_c0_g1.p2		
OG0010722	dis_TRINITY_DN11112_c0_g1.p1		
OG0010723	dis_TRINITY_DN11138_c0_g3.p3		
OG0010724	dis_TRINITY_DN11138_c0_g5.p2		
OG0010725	dis_TRINITY_DN11152_c0_g1.p2		
OG0010726	dis_TRINITY_DN11168_c0_g1.p2		
OG0010727	dis_TRINITY_DN1117_c0_g2.p2		
OG0010728	dis_TRINITY_DN11181_c0_g1.p2		
OG0010729	dis_TRINITY_DN11194_c1_g2.p1		
OG0010730	dis_TRINITY_DN11209_c0_g2.p2		
OG0010731	dis_TRINITY_DN11216_c0_g1.p1		
OG0010732	dis_TRINITY_DN11220_c0_g1.p2		
OG0010733	dis_TRINITY_DN11235_c0_g1.p2		
OG0010734	dis_TRINITY_DN112465_c0_g1.p2		
OG0010735	dis_TRINITY_DN1125_c0_g1.p4		
OG0010736	dis_TRINITY_DN11260_c0_g1.p3		
OG0010737	dis_TRINITY_DN11264_c0_g1.p2		
OG0010738	dis_TRINITY_DN11266_c0_g2.p2		
OG0010739	dis_TRINITY_DN1127_c0_g1.p1		
OG0010740	dis_TRINITY_DN11281_c0_g1.p5		
OG0010741	dis_TRINITY_DN1129_c0_g1.p2		
OG0010742	dis_TRINITY_DN113015_c0_g1.p2		
OG0010743	dis_TRINITY_DN1130_c0_g1.p2		
OG0010744	dis_TRINITY_DN11320_c0_g3.p1		
OG0010745	dis_TRINITY_DN11324_c0_g1.p2		
OG0010746	dis_TRINITY_DN11326_c0_g1.p2		
OG0010747	dis_TRINITY_DN1132_c0_g1.p2		
OG0010748	dis_TRINITY_DN1133_c0_g1.p1		
OG0010749	dis_TRINITY_DN11348_c0_g1.p2		
OG0010750	dis_TRINITY_DN11349_c0_g1.p1		
OG0010751	dis_TRINITY_DN1136_c0_g1.p2		
OG0010752	dis_TRINITY_DN11371_c0_g2.p1		
OG0010753	dis_TRINITY_DN11387_c0_g1.p3		
OG0010754	dis_TRINITY_DN1139_c0_g1.p1		
OG0010755	dis_TRINITY_DN1142_c0_g1.p2		
OG0010756	dis_TRINITY_DN1143_c0_g4.p1		
OG0010757	dis_TRINITY_DN11447_c0_g1.p2		
OG0010758	dis_TRINITY_DN11448_c0_g2.p1		
OG0010759	dis_TRINITY_DN11459_c0_g1.p2		
OG0010760	dis_TRINITY_DN11470_c0_g1.p1		
OG0010761	dis_TRINITY_DN11483_c0_g2.p2		
OG0010762	dis_TRINITY_DN11497_c0_g1.p2		
OG0010763	dis_TRINITY_DN11499_c0_g2.p2		
OG0010764	dis_TRINITY_DN11502_c0_g1.p3		
OG0010765	dis_TRINITY_DN11506_c0_g1.p2		
OG0010766	dis_TRINITY_DN11508_c0_g2.p1		
OG0010767	dis_TRINITY_DN11516_c0_g2.p2		
OG0010768	dis_TRINITY_DN11517_c0_g2.p1		
OG0010769	dis_TRINITY_DN1151_c0_g2.p2		
OG0010770	dis_TRINITY_DN1151_c0_g5.p2		
OG0010771	dis_TRINITY_DN11524_c0_g1.p6		
OG0010772	dis_TRINITY_DN11526_c0_g1.p2		
OG0010773	dis_TRINITY_DN11530_c0_g1.p2		
OG0010774	dis_TRINITY_DN11536_c0_g1.p2		
OG0010775	dis_TRINITY_DN11537_c0_g4.p3		
OG0010776	dis_TRINITY_DN11539_c0_g1.p1		
OG0010777	dis_TRINITY_DN1155_c0_g2.p2		
OG0010778	dis_TRINITY_DN1156_c0_g1.p2		
OG0010779	dis_TRINITY_DN11579_c1_g3.p2		
OG0010780	dis_TRINITY_DN11586_c0_g1.p2		
OG0010781	dis_TRINITY_DN11590_c0_g1.p2		
OG0010782	dis_TRINITY_DN11598_c0_g3.p2		
OG0010783	dis_TRINITY_DN11598_c0_g5.p2		
OG0010784	dis_TRINITY_DN11599_c0_g1.p2		
OG0010785	dis_TRINITY_DN11601_c0_g2.p2		
OG0010786	dis_TRINITY_DN11602_c0_g2.p2		
OG0010787	dis_TRINITY_DN11605_c0_g1.p1		
OG0010788	dis_TRINITY_DN1160_c0_g1.p3		
OG0010789	dis_TRINITY_DN11619_c0_g7.p2		
OG0010790	dis_TRINITY_DN11620_c0_g1.p2		
OG0010791	dis_TRINITY_DN11630_c0_g1.p2		
OG0010792	dis_TRINITY_DN11637_c0_g2.p3		
OG0010793	dis_TRINITY_DN11638_c0_g1.p1		
OG0010794	dis_TRINITY_DN11647_c0_g3.p3		
OG0010795	dis_TRINITY_DN1164_c0_g1.p3		
OG0010796	dis_TRINITY_DN11666_c0_g4.p2		
OG0010797	dis_TRINITY_DN11669_c0_g2.p1		
OG0010798	dis_TRINITY_DN11674_c0_g1.p1		
OG0010799	dis_TRINITY_DN11676_c0_g1.p3		
OG0010800	dis_TRINITY_DN1167_c0_g1.p2		
OG0010801	dis_TRINITY_DN1167_c0_g1.p10		
OG0010802	dis_TRINITY_DN1167_c0_g1.p11		
OG0010803	dis_TRINITY_DN1167_c0_g1.p12		
OG0010804	dis_TRINITY_DN1167_c0_g1.p13		
OG0010805	dis_TRINITY_DN1167_c0_g8.p10		
OG0010806	dis_TRINITY_DN1167_c0_g8.p11		
OG0010807	dis_TRINITY_DN11703_c0_g1.p1		
OG0010808	dis_TRINITY_DN11707_c0_g3.p2		
OG0010809	dis_TRINITY_DN11712_c0_g3.p2		
OG0010810	dis_TRINITY_DN11725_c0_g1.p1		
OG0010811	dis_TRINITY_DN11727_c0_g2.p2		
OG0010812	dis_TRINITY_DN1173_c0_g2.p2		
OG0010813	dis_TRINITY_DN11742_c0_g1.p2		
OG0010814	dis_TRINITY_DN11749_c0_g2.p3		
OG0010815	dis_TRINITY_DN11754_c0_g1.p2		
OG0010816	dis_TRINITY_DN11764_c0_g3.p2		
OG0010817	dis_TRINITY_DN11791_c0_g3.p2		
OG0010818	dis_TRINITY_DN1180_c0_g2.p4		
OG0010819	dis_TRINITY_DN11820_c0_g3.p3		
OG0010820	dis_TRINITY_DN11827_c0_g1.p1		
OG0010821	dis_TRINITY_DN11839_c0_g2.p1		
OG0010822	dis_TRINITY_DN11888_c0_g1.p3		
OG0010823	dis_TRINITY_DN11894_c0_g1.p3		
OG0010824	dis_TRINITY_DN11911_c0_g1.p3		
OG0010825	dis_TRINITY_DN1191_c0_g1.p2		
OG0010826	dis_TRINITY_DN11923_c0_g1.p2		
OG0010827	dis_TRINITY_DN11925_c0_g1.p2		
OG0010828	dis_TRINITY_DN1192_c0_g1.p3		
OG0010829	dis_TRINITY_DN11934_c0_g8.p2		
OG0010830	dis_TRINITY_DN11947_c0_g1.p2		
OG0010831	dis_TRINITY_DN1194_c0_g1.p2		
OG0010832	dis_TRINITY_DN11981_c0_g2.p2		
OG0010833	dis_TRINITY_DN11987_c0_g1.p2		
OG0010834	dis_TRINITY_DN11996_c0_g1.p3		
OG0010835	dis_TRINITY_DN12000_c0_g1.p1		
OG0010836	dis_TRINITY_DN12004_c0_g1.p2		
OG0010837	dis_TRINITY_DN1201_c0_g1.p1		
OG0010838	dis_TRINITY_DN12024_c0_g1.p2		
OG0010839	dis_TRINITY_DN12026_c0_g2.p1		
OG0010840	dis_TRINITY_DN12036_c0_g3.p2		
OG0010841	dis_TRINITY_DN1204_c0_g1.p2		
OG0010842	dis_TRINITY_DN1205_c0_g2.p2		
OG0010843	dis_TRINITY_DN12060_c0_g6.p3		
OG0010844	dis_TRINITY_DN12063_c0_g2.p2		
OG0010845	dis_TRINITY_DN12067_c0_g1.p1		
OG0010846	dis_TRINITY_DN12068_c0_g1.p2		
OG0010847	dis_TRINITY_DN12093_c0_g1.p1		
OG0010848	dis_TRINITY_DN12113_c0_g1.p1		
OG0010849	dis_TRINITY_DN1214_c0_g1.p2		
OG0010850	dis_TRINITY_DN12150_c0_g1.p2		
OG0010851	dis_TRINITY_DN12160_c0_g1.p1		
OG0010852	dis_TRINITY_DN12164_c0_g1.p2		
OG0010853	dis_TRINITY_DN12169_c0_g1.p2		
OG0010854	dis_TRINITY_DN12169_c0_g2.p2		
OG0010855	dis_TRINITY_DN1216_c0_g1.p2		
OG0010856	dis_TRINITY_DN1216_c5_g1.p1		
OG0010857	dis_TRINITY_DN12180_c0_g1.p1		
OG0010858	dis_TRINITY_DN12201_c0_g1.p3		
OG0010859	dis_TRINITY_DN12209_c0_g2.p1		
OG0010860	dis_TRINITY_DN12239_c0_g1.p3		
OG0010861	dis_TRINITY_DN12240_c0_g3.p2		
OG0010862	dis_TRINITY_DN12249_c0_g1.p2		
OG0010863	dis_TRINITY_DN12257_c0_g1.p10		
OG0010864	dis_TRINITY_DN1225_c0_g1.p2		
OG0010865	dis_TRINITY_DN1225_c1_g2.p2		
OG0010866	dis_TRINITY_DN1226_c0_g1.p1		
OG0010867	dis_TRINITY_DN1227_c0_g3.p2		
OG0010868	dis_TRINITY_DN12281_c0_g1.p1		
OG0010869	dis_TRINITY_DN12290_c0_g1.p3		
OG0010870	dis_TRINITY_DN12293_c0_g1.p2		
OG0010871	dis_TRINITY_DN12319_c0_g1.p2		
OG0010872	dis_TRINITY_DN12338_c0_g2.p1		
OG0010873	dis_TRINITY_DN12348_c0_g2.p2		
OG0010874	dis_TRINITY_DN1238_c0_g3.p2		
OG0010875	dis_TRINITY_DN12394_c0_g2.p1		
OG0010876	dis_TRINITY_DN12399_c0_g1.p2		
OG0010877	dis_TRINITY_DN123_c1_g4.p2		
OG0010878	dis_TRINITY_DN12402_c0_g4.p2		
OG0010879	dis_TRINITY_DN12428_c0_g1.p2		
OG0010880	dis_TRINITY_DN12434_c0_g4.p2		
OG0010881	dis_TRINITY_DN1244_c0_g1.p3		
OG0010882	dis_TRINITY_DN12480_c0_g1.p2		
OG0010883	dis_TRINITY_DN12499_c0_g1.p2		
OG0010884	dis_TRINITY_DN12523_c0_g1.p2		
OG0010885	dis_TRINITY_DN12527_c0_g1.p2		
OG0010886	dis_TRINITY_DN1252_c0_g3.p2		
OG0010887	dis_TRINITY_DN1254_c0_g1.p1		
OG0010888	dis_TRINITY_DN12553_c0_g8.p2		
OG0010889	dis_TRINITY_DN12582_c0_g1.p3		
OG0010890	dis_TRINITY_DN12595_c0_g1.p3		
OG0010891	dis_TRINITY_DN12619_c0_g1.p2		
OG0010892	dis_TRINITY_DN1261_c0_g1.p2		
OG0010893	dis_TRINITY_DN12620_c0_g5.p1		
OG0010894	dis_TRINITY_DN12624_c0_g1.p3		
OG0010895	dis_TRINITY_DN12676_c0_g1.p4		
OG0010896	dis_TRINITY_DN12680_c0_g2.p3		
OG0010897	dis_TRINITY_DN1269_c3_g1.p2		
OG0010898	dis_TRINITY_DN12701_c0_g7.p1		
OG0010899	dis_TRINITY_DN12726_c0_g2.p2		
OG0010900	dis_TRINITY_DN1272_c0_g1.p1		
OG0010901	dis_TRINITY_DN12732_c0_g1.p1		
OG0010902	dis_TRINITY_DN12735_c0_g1.p2		
OG0010903	dis_TRINITY_DN1273_c0_g4.p2		
OG0010904	dis_TRINITY_DN12763_c0_g3.p2		
OG0010905	dis_TRINITY_DN12766_c0_g8.p2		
OG0010906	dis_TRINITY_DN1276_c0_g1.p2		
OG0010907	dis_TRINITY_DN12780_c0_g1.p2		
OG0010908	dis_TRINITY_DN12782_c0_g1.p2		
OG0010909	dis_TRINITY_DN12786_c0_g1.p2		
OG0010910	dis_TRINITY_DN12788_c0_g1.p2		
OG0010911	dis_TRINITY_DN12793_c0_g1.p2		
OG0010912	dis_TRINITY_DN12795_c0_g1.p2		
OG0010913	dis_TRINITY_DN12802_c0_g1.p2		
OG0010914	dis_TRINITY_DN12807_c0_g1.p2		
OG0010915	dis_TRINITY_DN1281_c0_g3.p10		
OG0010916	dis_TRINITY_DN1281_c0_g3.p11		
OG0010917	dis_TRINITY_DN1281_c0_g3.p12		
OG0010918	dis_TRINITY_DN1281_c0_g3.p13		
OG0010919	dis_TRINITY_DN1281_c0_g3.p14		
OG0010920	dis_TRINITY_DN12822_c0_g1.p2		
OG0010921	dis_TRINITY_DN12839_c0_g1.p4		
OG0010922	dis_TRINITY_DN1284_c0_g1.p2		
OG0010923	dis_TRINITY_DN12850_c0_g1.p2		
OG0010924	dis_TRINITY_DN12872_c1_g3.p1		
OG0010925	dis_TRINITY_DN1287_c0_g1.p3		
OG0010926	dis_TRINITY_DN1287_c0_g4.p3		
OG0010927	dis_TRINITY_DN12901_c0_g5.p3		
OG0010928	dis_TRINITY_DN12913_c0_g1.p3		
OG0010929	dis_TRINITY_DN12921_c0_g1.p3		
OG0010930	dis_TRINITY_DN12921_c0_g3.p3		
OG0010931	dis_TRINITY_DN12932_c0_g1.p2		
OG0010932	dis_TRINITY_DN12933_c0_g4.p3		
OG0010933	dis_TRINITY_DN12937_c0_g1.p2		
OG0010934	dis_TRINITY_DN12966_c0_g1.p1		
OG0010935	dis_TRINITY_DN12978_c0_g2.p3		
OG0010936	dis_TRINITY_DN12980_c0_g2.p2		
OG0010937	dis_TRINITY_DN12984_c2_g1.p1		
OG0010938	dis_TRINITY_DN13000_c0_g1.p3		
OG0010939	dis_TRINITY_DN1301_c0_g1.p2		
OG0010940	dis_TRINITY_DN13022_c0_g1.p2		
OG0010941	dis_TRINITY_DN13042_c0_g2.p2		
OG0010942	dis_TRINITY_DN13048_c0_g1.p1		
OG0010943	dis_TRINITY_DN13053_c0_g1.p1		
OG0010944	dis_TRINITY_DN13071_c0_g2.p2		
OG0010945	dis_TRINITY_DN1307_c0_g2.p1		
OG0010946	dis_TRINITY_DN13085_c0_g1.p2		
OG0010947	dis_TRINITY_DN13095_c0_g1.p1		
OG0010948	dis_TRINITY_DN130_c0_g1.p2		
OG0010949	dis_TRINITY_DN13107_c0_g3.p2		
OG0010950	dis_TRINITY_DN1310_c0_g1.p4		
OG0010951	dis_TRINITY_DN13136_c0_g3.p2		
OG0010952	dis_TRINITY_DN1313_c0_g1.p3		
OG0010953	dis_TRINITY_DN1313_c0_g2.p2		
OG0010954	dis_TRINITY_DN1315_c0_g1.p2		
OG0010955	dis_TRINITY_DN1316_c0_g1.p2		
OG0010956	dis_TRINITY_DN13179_c0_g1.p1		
OG0010957	dis_TRINITY_DN13194_c0_g1.p1		
OG0010958	dis_TRINITY_DN1319_c0_g1.p2		
OG0010959	dis_TRINITY_DN13221_c0_g1.p2		
OG0010960	dis_TRINITY_DN1322_c0_g1.p1		
OG0010961	dis_TRINITY_DN13246_c0_g1.p2		
OG0010962	dis_TRINITY_DN13257_c0_g1.p2		
OG0010963	dis_TRINITY_DN13262_c0_g4.p2		
OG0010964	dis_TRINITY_DN13262_c0_g9.p2		
OG0010965	dis_TRINITY_DN13275_c0_g2.p2		
OG0010966	dis_TRINITY_DN13284_c0_g3.p3		
OG0010967	dis_TRINITY_DN13293_c0_g1.p1		
OG0010968	dis_TRINITY_DN13295_c0_g1.p2		
OG0010969	dis_TRINITY_DN132_c0_g4.p3		
OG0010970	dis_TRINITY_DN132_c0_g5.p2		
OG0010971	dis_TRINITY_DN13301_c0_g4.p3		
OG0010972	dis_TRINITY_DN13304_c0_g2.p2		
OG0010973	dis_TRINITY_DN13315_c1_g1.p2		
OG0010974	dis_TRINITY_DN13317_c0_g1.p2		
OG0010975	dis_TRINITY_DN13318_c1_g1.p2		
OG0010976	dis_TRINITY_DN13320_c0_g1.p2		
OG0010977	dis_TRINITY_DN13321_c0_g3.p2		
OG0010978	dis_TRINITY_DN13333_c0_g1.p2		
OG0010979	dis_TRINITY_DN13340_c0_g1.p2		
OG0010980	dis_TRINITY_DN13342_c0_g1.p2		
OG0010981	dis_TRINITY_DN13346_c0_g2.p2		
OG0010982	dis_TRINITY_DN1334_c0_g2.p2		
OG0010983	dis_TRINITY_DN13353_c0_g1.p2		
OG0010984	dis_TRINITY_DN1336_c0_g1.p1		
OG0010985	dis_TRINITY_DN13382_c0_g1.p2		
OG0010986	dis_TRINITY_DN13409_c0_g1.p2		
OG0010987	dis_TRINITY_DN13410_c0_g1.p2		
OG0010988	dis_TRINITY_DN13427_c0_g1.p2		
OG0010989	dis_TRINITY_DN13431_c0_g1.p1		
OG0010990	dis_TRINITY_DN1343_c0_g1.p2		
OG0010991	dis_TRINITY_DN13446_c0_g1.p2		
OG0010992	dis_TRINITY_DN13463_c0_g1.p2		
OG0010993	dis_TRINITY_DN13492_c0_g2.p1		
OG0010994	dis_TRINITY_DN1349_c1_g2.p2		
OG0010995	dis_TRINITY_DN1352_c0_g1.p2		
OG0010996	dis_TRINITY_DN13568_c0_g1.p2		
OG0010997	dis_TRINITY_DN13576_c0_g1.p2		
OG0010998	dis_TRINITY_DN13585_c0_g2.p2		
OG0010999	dis_TRINITY_DN1358_c0_g1.p3		
OG0011000	dis_TRINITY_DN13592_c0_g1.p2		
OG0011001	dis_TRINITY_DN13605_c0_g1.p2		
OG0011002	dis_TRINITY_DN1360_c1_g1.p3		
OG0011003	dis_TRINITY_DN13614_c0_g1.p1		
OG0011004	dis_TRINITY_DN13622_c0_g1.p2		
OG0011005	dis_TRINITY_DN13622_c0_g2.p1		
OG0011006	dis_TRINITY_DN13629_c0_g1.p2		
OG0011007	dis_TRINITY_DN13632_c0_g1.p2		
OG0011008	dis_TRINITY_DN13641_c0_g1.p1		
OG0011009	dis_TRINITY_DN13644_c0_g1.p2		
OG0011010	dis_TRINITY_DN13668_c0_g3.p2		
OG0011011	dis_TRINITY_DN13668_c0_g4.p1		
OG0011012	dis_TRINITY_DN13684_c0_g1.p2		
OG0011013	dis_TRINITY_DN13688_c0_g1.p2		
OG0011014	dis_TRINITY_DN1369_c0_g1.p2		
OG0011015	dis_TRINITY_DN1369_c0_g3.p2		
OG0011016	dis_TRINITY_DN1369_c0_g5.p3		
OG0011017	dis_TRINITY_DN13701_c0_g1.p3		
OG0011018	dis_TRINITY_DN1370_c0_g1.p3		
OG0011019	dis_TRINITY_DN13726_c0_g1.p4		
OG0011020	dis_TRINITY_DN13731_c0_g1.p2		
OG0011021	dis_TRINITY_DN1374_c0_g1.p2		
OG0011022	dis_TRINITY_DN13753_c0_g1.p2		
OG0011023	dis_TRINITY_DN13759_c0_g2.p3		
OG0011024	dis_TRINITY_DN13768_c0_g1.p2		
OG0011025	dis_TRINITY_DN1377_c0_g1.p1		
OG0011026	dis_TRINITY_DN13781_c0_g2.p2		
OG0011027	dis_TRINITY_DN13787_c0_g1.p2		
OG0011028	dis_TRINITY_DN13790_c0_g1.p2		
OG0011029	dis_TRINITY_DN13804_c0_g1.p2		
OG0011030	dis_TRINITY_DN1380_c0_g1.p2		
OG0011031	dis_TRINITY_DN13827_c0_g1.p1		
OG0011032	dis_TRINITY_DN13829_c0_g1.p1		
OG0011033	dis_TRINITY_DN1384_c0_g2.p2		
OG0011034	dis_TRINITY_DN13851_c0_g1.p2		
OG0011035	dis_TRINITY_DN13854_c1_g1.p2		
OG0011036	dis_TRINITY_DN13861_c0_g1.p1		
OG0011037	dis_TRINITY_DN13870_c0_g2.p1		
OG0011038	dis_TRINITY_DN1389_c0_g1.p2		
OG0011039	dis_TRINITY_DN13901_c0_g1.p1		
OG0011040	dis_TRINITY_DN13907_c0_g6.p3		
OG0011041	dis_TRINITY_DN13907_c0_g7.p1		
OG0011042	dis_TRINITY_DN13911_c0_g1.p2		
OG0011043	dis_TRINITY_DN1391_c0_g1.p2		
OG0011044	dis_TRINITY_DN13921_c0_g3.p2		
OG0011045	dis_TRINITY_DN1392_c0_g1.p2		
OG0011046	dis_TRINITY_DN1392_c0_g4.p1		
OG0011047	dis_TRINITY_DN1396_c0_g1.p4		
OG0011048	dis_TRINITY_DN13998_c0_g1.p3		
OG0011049	dis_TRINITY_DN139_c0_g6.p1		
OG0011050	dis_TRINITY_DN14004_c0_g2.p1		
OG0011051	dis_TRINITY_DN1403_c0_g2.p2		
OG0011052	dis_TRINITY_DN1403_c0_g3.p2		
OG0011053	dis_TRINITY_DN14057_c0_g1.p2		
OG0011054	dis_TRINITY_DN14060_c0_g1.p3		
OG0011055	dis_TRINITY_DN14061_c0_g1.p3		
OG0011056	dis_TRINITY_DN14080_c0_g1.p1		
OG0011057	dis_TRINITY_DN14117_c0_g1.p2		
OG0011058	dis_TRINITY_DN14122_c0_g1.p1		
OG0011059	dis_TRINITY_DN14138_c0_g1.p2		
OG0011060	dis_TRINITY_DN1417_c0_g1.p10		
OG0011061	dis_TRINITY_DN14229_c1_g1.p1		
OG0011062	dis_TRINITY_DN1424_c0_g1.p2		
OG0011063	dis_TRINITY_DN14269_c0_g1.p1		
OG0011064	dis_TRINITY_DN14281_c0_g1.p2		
OG0011065	dis_TRINITY_DN142_c0_g3.p2		
OG0011066	dis_TRINITY_DN14308_c0_g1.p2		
OG0011067	dis_TRINITY_DN14310_c0_g1.p2		
OG0011068	dis_TRINITY_DN14313_c0_g1.p2		
