Orthogroup	F_distichus_pep_CA	F_serratus_pep_CA	PUBLIC_Ectocarpus-sp7_proteins
OG0000010	dis_TRINITY_DN598_c0_g1.p1		Ec-09_000450.1, Ec-09_001420.1, Ec-10_003790.1, Ec-10_003790.2, Ec-10_003790.4, Ec-13_003120.1, Ec-13_004330.1, Ec-15_000200.1, Ec-15_000200.4, Ec-22_001500.1, Ec-22_001535.1, Ec-22_001550.1, Ec-22_003100.1, Ec-22_003100.2, Ec-22_003100.3, Ec-22_003100.4, Ec-22_003100.5, Ec-22_003110.2, Ec-22_003120.1, Ec-22_003120.2, Ec-22_003155.1, Ec-22_003160.1, Ec-22_003170.1, Ec-22_003170.2, Ec-22_003200.1, Ec-22_003210.1, Ec-24_004350.1, Ec-25_003490.1, Ec-25_003490.2, Ec-25_003490.3, Ec-25_003490.4
OG0000011		ser_TRINITY_DN11876_c0_g1.p1, ser_TRINITY_DN15322_c0_g2.p1, ser_TRINITY_DN3710_c0_g2.p1, ser_TRINITY_DN39874_c0_g1.p1, ser_TRINITY_DN45533_c0_g2.p4	Ec-00_007710.1, Ec-04_000490.1, Ec-04_000500.1, Ec-08_001340.1, Ec-11_000160.1, Ec-12_006350.2, Ec-12_006350.3, Ec-13_000820.1, Ec-13_000920.2, Ec-13_002990.3, Ec-18_002620.1, Ec-21_001380.1, Ec-21_003960.1, Ec-23_000010.2, Ec-26_001110.1, Ec-26_001110.2, Ec-26_001110.3, Ec-26_001390.1, Ec-26_001390.3, Ec-26_001390.4, Ec-26_001390.5, Ec-26_001400.1, Ec-26_001400.2, Ec-26_001400.3, Ec-26_001540.3, Ec-26_004280.1
OG0000012	dis_TRINITY_DN1273_c0_g1.p1, dis_TRINITY_DN2341_c0_g1.p1, dis_TRINITY_DN24770_c0_g3.p1, dis_TRINITY_DN3237_c0_g1.p1, dis_TRINITY_DN3780_c0_g1.p1, dis_TRINITY_DN457_c0_g1.p1, dis_TRINITY_DN46379_c0_g1.p1, dis_TRINITY_DN711_c0_g4.p1, dis_TRINITY_DN926_c0_g3.p1	ser_TRINITY_DN1809_c0_g1.p1, ser_TRINITY_DN19237_c0_g2.p1, ser_TRINITY_DN402_c0_g1.p1, ser_TRINITY_DN5023_c0_g1.p1, ser_TRINITY_DN632_c0_g1.p1	Ec-00_004740.1, Ec-00_004740.2, Ec-07_007450.1, Ec-08_000120.1, Ec-08_005040.1, Ec-09_000700.1, Ec-09_000710.1, Ec-10_003380.1, Ec-12_009010.1, Ec-14_004010.1, Ec-14_005240.2, Ec-14_005250.1, Ec-19_000220.1, Ec-19_000220.3, Ec-27_002330.1
OG0000013			Ec-00_004810.1, Ec-00_004810.2, Ec-04_006000.1, Ec-04_006070.1, Ec-09_000930.1, Ec-09_000940.1, Ec-09_000940.2, Ec-12_003550.1, Ec-12_003550.2, Ec-12_003550.3, Ec-18_004120.2, Ec-25_003280.1, Ec-25_003290.1, Ec-25_003290.10, Ec-25_003290.11, Ec-25_003290.12, Ec-25_003290.13, Ec-25_003290.2, Ec-25_003290.3, Ec-25_003290.4, Ec-25_003290.5, Ec-25_003290.6, Ec-25_003290.7, Ec-25_003290.8, Ec-25_003290.9, Ec-25_003410.1, Ec-25_003420.1, Ec-27_005630.1
OG0000014		ser_TRINITY_DN14990_c0_g1.p1, ser_TRINITY_DN3699_c0_g1.p4	Ec-00_002480.1, Ec-00_007630.1, Ec-00_008800.1, Ec-03_001980.1, Ec-03_002000.1, Ec-03_002270.1, Ec-19_004360.1, Ec-19_004360.3, Ec-19_004380.1, Ec-19_004380.2, Ec-19_004380.3, Ec-19_004380.4, Ec-19_004380.5, Ec-19_004380.6, Ec-23_001740.2, Ec-23_001740.3, Ec-23_001740.4, Ec-23_001740.5, Ec-23_001750.1, Ec-23_003690.1, Ec-23_003700.1, Ec-23_003740.1, Ec-23_003820.1, Ec-23_003840.1, Ec-23_003860.1
OG0000015			Ec-04_000970.1, Ec-04_001577.1, Ec-04_001580.1, Ec-04_001580.2, Ec-04_001590.1, Ec-05_002150.1, Ec-08_004760.1, Ec-08_004760.2, Ec-11_000300.1, Ec-11_000300.3, Ec-13_000830.1, Ec-13_000910.1, Ec-13_000910.3, Ec-13_000910.4, Ec-13_000920.1, Ec-13_000930.1, Ec-13_002980.1, Ec-13_002980.2, Ec-13_002980.3, Ec-13_002990.1, Ec-13_002990.2, Ec-13_003570.1, Ec-13_003580.1, Ec-21_003970.1, Ec-23_000010.1, Ec-26_000430.1, Ec-26_001030.1
OG0000016		ser_TRINITY_DN21111_c0_g2.p1	Ec-00_000800.1, Ec-00_002440.1, Ec-00_003580.1, Ec-00_006625.1, Ec-00_007370.1, Ec-00_008140.1, Ec-00_008300.1, Ec-00_008300.2, Ec-00_008620.1, Ec-00_008630.1, Ec-00_009050.1, Ec-21_002130.1, Ec-21_002270.1, Ec-21_002420.1, Ec-21_002430.1, Ec-21_002510.1, Ec-21_002640.1, Ec-21_002650.1, Ec-21_002650.2, Ec-21_002650.3, Ec-21_003930.1, Ec-21_004000.1, Ec-21_004000.3, Ec-26_004705.2, Ec-26_004710.1
OG0000017			Ec-05_001620.1, Ec-05_001620.2, Ec-05_001620.3, Ec-17_000970.1, Ec-17_000990.1, Ec-17_001000.1, Ec-17_001000.2, Ec-17_001000.3, Ec-17_001000.4, Ec-17_001000.5, Ec-17_001010.1, Ec-17_001010.2, Ec-17_001010.3, Ec-17_001010.4, Ec-17_001010.5, Ec-17_001010.6, Ec-17_001030.1, Ec-17_002600.1, Ec-22_003220.1, Ec-22_003220.2, Ec-22_003220.3, Ec-22_003220.4, Ec-28_003870.1, Ec-28_003870.2, Ec-28_003870.3, Ec-28_003870.4
OG0000018			Ec-08_001860.1, Ec-13_002720.2, Ec-13_003890.1, Ec-13_003890.2, Ec-13_003890.3, Ec-13_003900.1, Ec-13_003900.2, Ec-13_003910.1, Ec-13_003910.3, Ec-13_003910.4, Ec-13_004120.1, Ec-13_004140.1, Ec-13_004220.1, Ec-13_004220.2, Ec-13_004230.1, Ec-13_004340.1, Ec-13_004340.2, Ec-13_004340.3, Ec-13_004370.1, Ec-13_004370.2, Ec-13_004380.1, Ec-13_004410.2, Ec-13_004590.1, Ec-13_004820.2, Ec-14_001110.1, Ec-26_004870.2
OG0000019			Ec-02_001910.1, Ec-02_001910.2, Ec-06_002670.1, Ec-06_002670.2, Ec-06_002670.3, Ec-06_002670.4, Ec-13_004480.1, Ec-13_004490.1, Ec-13_004500.1, Ec-13_004500.2, Ec-13_004500.3, Ec-13_004610.1, Ec-13_004620.1, Ec-13_004810.1, Ec-13_004810.2, Ec-18_001430.1, Ec-18_001440.1, Ec-18_001450.1, Ec-18_001470.1, Ec-18_001470.2, Ec-18_001580.1, Ec-19_003770.1, Ec-19_003770.2, Ec-25_002150.1
OG0000020	dis_TRINITY_DN12395_c0_g1.p1, dis_TRINITY_DN1573_c0_g1.p2, dis_TRINITY_DN8887_c0_g2.p1, dis_TRINITY_DN9813_c0_g1.p1	ser_TRINITY_DN2540_c0_g1.p1, ser_TRINITY_DN4727_c0_g1.p1, ser_TRINITY_DN9782_c0_g3.p1	Ec-02_000480.1, Ec-02_000490.1, Ec-02_000500.1, Ec-02_000510.1, Ec-02_003170.1, Ec-05_003360.1, Ec-05_003370.1, Ec-07_005950.1, Ec-07_005990.1, Ec-10_003800.1, Ec-12_000430.1, Ec-12_000440.1, Ec-12_000450.1, Ec-27_004940.1, Ec-27_004940.2, Ec-27_004940.3
OG0000021			Ec-00_009500.1, Ec-00_009500.10, Ec-00_009500.11, Ec-00_009500.12, Ec-00_009500.13, Ec-00_009500.2, Ec-00_009500.3, Ec-00_009500.4, Ec-00_009500.6, Ec-00_009500.7, Ec-00_009500.8, Ec-00_009500.9, Ec-06_000010.1, Ec-18_003550.1, Ec-18_003550.10, Ec-18_003550.2, Ec-18_003550.3, Ec-18_003550.4, Ec-18_003550.5, Ec-18_003550.6, Ec-18_003550.7, Ec-18_003550.8, Ec-18_003550.9
OG0000022			Ec-01_004170.1, Ec-06_002210.1, Ec-06_002210.2, Ec-09_001170.1, Ec-09_001180.1, Ec-09_001190.1, Ec-09_001190.2, Ec-09_001200.1, Ec-11_001740.3, Ec-12_006000.1, Ec-15_003060.1, Ec-15_003060.2, Ec-15_003480.1, Ec-15_003480.3, Ec-15_003490.1, Ec-20_003290.1, Ec-27_001920.1, Ec-27_001920.2, Ec-27_001930.1, Ec-28_002980.1, Ec-28_003100.1, Ec-28_003100.2, Ec-28_003100.3
OG0000023			Ec-04_004637.1, Ec-04_004640.1, Ec-04_004640.2, Ec-04_004700.1, Ec-04_004700.3, Ec-04_004870.1, Ec-04_004870.3, Ec-04_004890.1, Ec-04_004890.2, Ec-04_004890.3, Ec-04_004890.4, Ec-04_004890.5, Ec-04_004910.1, Ec-04_004920.1, Ec-04_004920.3, Ec-04_004920.4, Ec-23_001770.1, Ec-23_001780.1, Ec-23_001800.1, Ec-28_000750.1, Ec-28_000840.1, Ec-28_000840.2, Ec-28_000840.3
OG0000024	dis_TRINITY_DN10212_c0_g2.p1, dis_TRINITY_DN1048_c0_g1.p1, dis_TRINITY_DN2463_c3_g1.p1, dis_TRINITY_DN33755_c0_g1.p1, dis_TRINITY_DN5124_c0_g3.p1, dis_TRINITY_DN5651_c2_g1.p1, dis_TRINITY_DN7645_c0_g3.p1, dis_TRINITY_DN8030_c1_g1.p1	ser_TRINITY_DN111003_c0_g1.p1, ser_TRINITY_DN16667_c0_g6.p1, ser_TRINITY_DN37100_c0_g1.p1, ser_TRINITY_DN49066_c0_g1.p1, ser_TRINITY_DN5464_c0_g2.p1, ser_TRINITY_DN55679_c0_g1.p1, ser_TRINITY_DN5792_c1_g1.p1, ser_TRINITY_DN7668_c0_g1.p1, ser_TRINITY_DN7865_c0_g4.p1	Ec-07_000285.1, Ec-12_008930.2, Ec-21_000440.2, Ec-21_002130.2, Ec-22_002160.2
OG0000025	dis_TRINITY_DN14691_c0_g1.p1, dis_TRINITY_DN352_c0_g1.p1	ser_TRINITY_DN34363_c0_g3.p1, ser_TRINITY_DN5362_c0_g1.p1, ser_TRINITY_DN5362_c0_g2.p1, ser_TRINITY_DN805_c0_g3.p1, ser_TRINITY_DN9053_c0_g1.p1	Ec-02_002540.2, Ec-03_000740.1, Ec-03_004500.1, Ec-06_004920.1, Ec-10_002030.1, Ec-10_002050.1, Ec-10_003070.1, Ec-11_002410.1, Ec-11_006310.1, Ec-16_004750.1, Ec-22_002160.1, Ec-22_002180.1, Ec-22_002180.2, Ec-22_002180.3, Ec-26_006670.1
OG0000026	dis_TRINITY_DN1778_c0_g1.p1, dis_TRINITY_DN29770_c0_g2.p1, dis_TRINITY_DN29770_c0_g3.p1	ser_TRINITY_DN10781_c0_g3.p1, ser_TRINITY_DN10781_c0_g4.p1, ser_TRINITY_DN10781_c0_g5.p1, ser_TRINITY_DN21054_c1_g1.p1, ser_TRINITY_DN36817_c0_g1.p1, ser_TRINITY_DN74962_c0_g1.p1, ser_TRINITY_DN74962_c0_g2.p1, ser_TRINITY_DN87678_c0_g1.p1, ser_TRINITY_DN9081_c0_g1.p1, ser_TRINITY_DN9081_c1_g1.p1, ser_TRINITY_DN9081_c1_g2.p1	Ec-00_005420.1, Ec-07_000470.1, Ec-07_000480.1, Ec-26_005840.1, Ec-26_005870.1, Ec-26_005920.1, Ec-26_006400.1, Ec-26_006490.1
OG0000027		ser_TRINITY_DN2725_c0_g2.p1	Ec-01_010790.1, Ec-02_003500.1, Ec-03_003900.1, Ec-05_003770.1, Ec-05_003770.2, Ec-05_003770.3, Ec-05_003770.4, Ec-05_003810.1, Ec-06_000030.1, Ec-06_000030.2, Ec-09_001290.1, Ec-10_004630.1, Ec-10_004630.2, Ec-10_004630.3, Ec-18_001180.1, Ec-18_001250.1, Ec-18_001260.1, Ec-19_004320.1, Ec-19_004330.1, Ec-19_004340.1, Ec-19_004340.2
OG0000028			Ec-00_006370.1, Ec-00_006370.2, Ec-00_006380.1, Ec-00_006380.2, Ec-06_006700.1, Ec-11_000400.1, Ec-11_005180.1, Ec-11_005180.2, Ec-11_005180.3, Ec-11_005180.4, Ec-11_005180.5, Ec-18_000130.1, Ec-18_000140.2, Ec-18_000150.1, Ec-19_003150.1, Ec-19_003160.1, Ec-23_000490.1, Ec-24_001130.1, Ec-24_001140.1, Ec-24_001140.2, Ec-25_003400.1, Ec-25_003400.3
OG0000029	dis_TRINITY_DN11883_c0_g1.p1, dis_TRINITY_DN206_c0_g1.p1, dis_TRINITY_DN2117_c0_g1.p1, dis_TRINITY_DN25010_c0_g1.p1, dis_TRINITY_DN3940_c0_g1.p1	ser_TRINITY_DN1735_c0_g1.p1, ser_TRINITY_DN2251_c0_g2.p1, ser_TRINITY_DN28184_c0_g1.p1, ser_TRINITY_DN34922_c0_g4.p1, ser_TRINITY_DN7161_c0_g1.p1, ser_TRINITY_DN75542_c0_g1.p1, ser_TRINITY_DN7986_c0_g2.p1, ser_TRINITY_DN8520_c0_g2.p1	Ec-00_000950.1, Ec-00_002050.1, Ec-00_002050.2, Ec-06_007050.1, Ec-06_007860.1, Ec-06_007870.1, Ec-20_003580.1, Ec-28_001440.1
OG0000030	dis_TRINITY_DN134_c0_g2.p1, dis_TRINITY_DN2255_c0_g4.p1	ser_TRINITY_DN10309_c0_g3.p1, ser_TRINITY_DN93958_c0_g1.p1	Ec-06_000450.1, Ec-06_000460.1, Ec-06_000470.1, Ec-06_000490.1, Ec-06_000510.1, Ec-06_000520.1, Ec-06_000530.1, Ec-06_000540.1, Ec-06_000540.2, Ec-06_000550.1, Ec-06_000570.1, Ec-06_000580.1, Ec-06_000590.1, Ec-06_000600.1, Ec-06_000710.1, Ec-06_000730.1, Ec-06_000750.1
OG0000031		ser_TRINITY_DN4837_c0_g5.p1	Ec-01_011630.1, Ec-01_011630.2, Ec-02_000670.1, Ec-05_004510.1, Ec-06_005430.1, Ec-06_008980.1, Ec-06_008990.1, Ec-10_001010.1, Ec-10_001010.2, Ec-10_005310.1, Ec-10_005380.1, Ec-10_005380.2, Ec-10_006280.1, Ec-10_006290.1, Ec-10_006290.2, Ec-10_006290.4, Ec-11_000110.1, Ec-27_003170.1, Ec-27_005470.1, Ec-28_003650.1
OG0000032	dis_TRINITY_DN16621_c0_g1.p1, dis_TRINITY_DN5525_c0_g1.p1, dis_TRINITY_DN8662_c0_g1.p1	ser_TRINITY_DN101750_c0_g2.p1, ser_TRINITY_DN11829_c0_g1.p1, ser_TRINITY_DN52216_c0_g1.p1, ser_TRINITY_DN680_c0_g2.p1, ser_TRINITY_DN7362_c0_g1.p1	Ec-02_003690.2, Ec-03_001790.4, Ec-04_001920.2, Ec-06_001640.9, Ec-10_004500.3, Ec-10_004500.4, Ec-13_000540.3, Ec-13_000540.4, Ec-13_000540.5, Ec-13_000540.6, Ec-15_004720.1, Ec-20_003730.1
OG0000033	dis_TRINITY_DN7841_c0_g2.p1		Ec-00_000870.1, Ec-03_000500.1, Ec-03_000520.1, Ec-08_000100.1, Ec-08_000100.2, Ec-08_000100.3, Ec-08_000100.4, Ec-08_000100.5, Ec-08_000110.1, Ec-08_006060.1, Ec-08_006060.2, Ec-21_000940.1, Ec-21_000940.2, Ec-21_000950.1, Ec-21_000950.2, Ec-21_000950.3, Ec-21_000950.4, Ec-21_000960.1, Ec-23_002620.1
