query_id;subject_id;dN;dS;dNdS;perc_identity;num_ident_matches;alig_length;mismatches;gap_openings;n_gaps;pos_match;ppos;q_start;q_end;q_len;qcov;qcovhsp;s_start;s_end;s_len;evalue;bit_score;score_raw
Ec-00_001490.1;EsuBft1700_4a-00001;0.09757;0.1681;0.5803;88.213;464;526;57;3;5;476;90.49;33;555;555;94;94;44;567;567;0;889;2297
Ec-00_001500.1;EsuBft1700_3a-00001;0.03223;0.1466;0.2197;90.39;348;385;29;3;8;356;92.47;1;385;386;99;99;188;564;569;0;553;1425
Ec-00_001530.1;EsuBft291_3a-00001;0.1202;0.3327;0.3614;90.13;347;385;32;1;6;356;92.47;46;430;501;77;77;25;403;480;0;587;1512
Ec-00_001540.1;EsuBft291_5a-00001;0.0675;0.1088;0.6205;84.293;483;573;70;3;20;504;87.96;274;846;918;67;62;45;597;614;0;764;1973
Ec-00_001570.1;EsuBft291_9a-00001;0.02809;0.09319;0.3014;86.139;435;505;28;6;42;447;88.51;1;468;481;97;97;1;500;513;0;765;1975
Ec-00_001580.1;EsuBft291_11a-00001;0.05008;0.129;0.3883;92.809;968;1043;64;6;11;985;94.44;122;1162;1192;87;87;36;1069;1099;0;1703;4411
Ec-00_001590.1;EsuBft291_12a-00001;0.06126;0.1017;0.6022;79.77;347;435;44;3;44;357;82.07;12;404;404;97;97;12;444;444;0;573;1477
Ec-00_001600.1;EsuBft291_13a-00001;0.0399;0.1272;0.3137;84.422;336;398;48;2;14;344;86.43;1;389;389;100;100;1;393;393;9.03e-177;497;1279
Ec-00_001610.1;EsuBft291_14a-00001;0.03824;0.2691;0.1421;93.243;69;74;5;0;0;70;94.59;44;117;613;12;12;4;77;83;1.29e-37;133;335
Ec-00_001620.1;EsuBft291_15a-00001;0.05269;0.1237;0.4261;83.214;233;280;30;2;17;242;86.43;372;649;649;43;43;15;279;279;1.3e-141;413;1061
Ec-00_001630.1;EsuBft291_16a-00001;0.031;0.1279;0.2423;91.902;715;778;51;5;12;738;94.86;1;769;769;100;100;1;775;775;0;1380;3572
Ec-00_001640.1;EsuBft291_17a-00001;0.1015;0.3545;0.2864;88.889;48;54;6;0;0;50;92.59;1;54;246;22;22;1;54;65;5.77e-29;103;257
Ec-00_001650.1;EsuBft291_19a-00001;0.3131;0.7747;0.4041;57.065;105;184;43;1;36;117;63.59;189;336;338;44;44;7;190;196;7.28e-68;211;536
Ec-00_001670.1;EsuBft5765_2a-00001;0.2034;0.5381;0.378;77.941;106;136;27;1;3;117;86.03;108;240;422;32;32;22;157;192;3.45e-65;206;524
Ec-00_001680.1;EsuBft291_22a-00001;0.03626;0.1051;0.3451;90.716;342;377;21;3;14;349;92.57;6;378;381;98;98;33;399;402;0;646;1667
Ec-00_001700.1;EsuBft291_21a-00001;0.04586;0.1351;0.3396;87.047;504;579;55;3;20;517;89.29;2;579;579;99;99;14;573;573;0;766;1978
Ec-00_001710.1;EsuBft1140_7a-00001;0.07959;0.1831;0.4347;96.535;195;202;7;0;0;199;98.51;67;268;268;75;75;34;235;235;2.26e-139;390;1003
Ec-00_001720.1;EsuBft1140_5a-00001;0.008594;0.1545;0.05562;98.416;435;442;7;0;0;438;99.1;1;442;442;100;100;1;442;442;0;890;2300
Ec-00_001730.1;EsuBft1140_4a-00001;0.03617;0.1219;0.2966;88.728;307;346;28;3;11;311;89.88;745;1089;1089;32;32;1;336;336;4.05e-117;364;934
Ec-00_001740.1;EsuBft1952_6a-00001;0.0263;0.08926;0.2947;93.902;154;164;10;0;0;157;95.73;1;164;164;100;100;1;164;164;8.46e-102;288;738
Ec-00_001750.1;EsuBft1952_5a-00001;0.01262;0.1537;0.08208;92.383;376;407;11;2;20;384;94.35;27;413;413;94;94;1;407;407;0;766;1978
Ec-00_001760.1;EsuBft1952_4a-00001;0.03797;0.09692;0.3918;90.019;469;521;48;2;4;476;91.36;1;518;518;100;100;229;748;748;0;875;2262
Ec-00_001860.1;EsuBft1971_4a-00001;0.02952;0.1122;0.2629;90.327;635;703;40;2;28;657;93.46;60;758;758;92;92;1;679;679;0;1199;3101
Ec-00_001890.1;EsuBft1670_2a-00001;0.02922;0.1687;0.1732;86.667;585;675;42;6;48;598;88.59;1;631;631;100;100;1;671;671;0;1077;2784
Ec-00_001930.1;EsuBft1557_7a-00001;0.03673;0.11;0.3339;93.256;484;519;35;0;0;492;94.8;1;519;519;100;100;1;519;519;0;797;2058
Ec-00_001940.1;EsuBft1557_6a-00001;0.01456;0.09674;0.1505;97.02;586;604;16;1;2;595;98.51;1;604;604;100;100;1;602;602;0;1173;3034
Ec-00_001950.1;EsuBft1557_5a-00001;0.02891;0.09183;0.3148;89.235;1774;1988;142;10;72;1814;91.25;1;1947;1947;100;100;1;1957;1957;0;2987;7744
Ec-00_001960.1;EsuBft555_2a-00001;0.006615;0.09094;0.07275;98.716;846;857;11;0;0;850;99.18;1;857;860;99;99;1;857;893;0;1735;4493
Ec-00_002000.1;EsuBft555_3a-00001;0.01884;0.09167;0.2056;92.625;427;461;26;3;8;431;93.49;1;460;460;100;100;1;454;454;0;722;1863
Ec-00_002010.1;EsuBft555_6a-00001;0.01647;0.09779;0.1684;96.404;429;445;16;0;0;433;97.3;1;445;445;100;100;1;445;445;0;833;2152
Ec-00_002020.1;EsuBft555_11a-00001;0.06693;0.1346;0.4971;87.19;422;484;62;0;0;444;91.74;236;719;719;67;67;1;484;484;0;832;2149
Ec-00_002030.1;EsuBft555_12a-00001;0.01486;0.09588;0.155;91.611;546;596;27;5;23;554;92.95;1;585;585;100;100;1;584;584;0;863;2231
Ec-00_002040.1;EsuBft555_13a-00001;0.02096;0.09911;0.2115;95.759;429;448;19;0;0;439;97.99;1;448;448;100;100;1;448;448;0;906;2341
Ec-00_002070.1;EsuBft800_3a-00001;0.02016;0.104;0.1938;92.615;1530;1652;73;7;49;1550;93.83;54;1664;1675;96;96;52;1695;1706;0;2365;6130
Ec-00_002080.1;EsuBft1748_4a-00001;0.03878;0.09193;0.4218;87.289;1243;1424;137;10;44;1283;90.1;1;1411;2302;100;61;1;1393;2363;0;1786;4625
Ec-00_002090.1;EsuBft1748_2a-00001;0.02481;0.12;0.2067;93.317;377;404;17;1;10;384;95.05;120;523;537;75;75;6;399;403;0;724;1870
Ec-00_002200.1;EsuBft1866_5a-00001;0.246;0.7056;0.3487;59.906;127;212;76;2;9;154;72.64;10;221;222;95;95;2;204;229;1.5e-85;252;644
Ec-00_002470.1;EsuBft437_25a-00001;0.1735;0.3099;0.56;75.839;113;149;14;2;22;117;78.52;1;149;192;78;78;1;127;183;8.41e-62;189;480
Ec-00_003265.1;EsuBft183_18a-00001;0.04742;0.07782;0.6093;91.065;265;291;25;1;1;274;94.16;1;290;290;100;100;1;291;291;0;499;1286
Ec-00_003270.1;EsuBft183_17a-00001;0.0707;0.1149;0.6155;85.848;552;643;83;4;8;567;88.18;1;643;643;100;100;1;635;635;0;965;2495
Ec-00_003280.1;EsuBft183_16a-00001;0.03981;0.1528;0.2605;85.201;403;473;60;3;10;418;88.37;1;467;467;100;100;1;469;469;0;589;1519
Ec-00_003290.1;EsuBft183_15a-00001;0.003551;0.07482;0.04747;93.412;397;425;3;2;25;398;93.65;1;400;400;100;100;1;425;425;0;793;2049
Ec-00_003320.1;EsuBft183_12a-00001;0.05423;0.1976;0.2745;75.449;252;334;20;2;62;256;76.65;706;977;1396;19;19;28;361;366;2.82e-128;400;1029
Ec-00_003330.1;EsuBft183_10a-00001;0.06392;0.1279;0.4999;81.104;382;471;49;3;40;395;83.86;175;610;610;71;71;1;466;466;0;596;1536
Ec-00_003340.1;EsuBft183_9a-00001;0.06211;0.2601;0.2388;93.443;57;61;4;0;0;58;95.08;13;73;73;84;84;94;154;154;3.83e-37;120;302
Ec-00_003350.1;EsuBft183_8a-00001;0.03626;0.07024;0.5162;91.979;172;187;13;2;2;173;92.51;1;186;188;99;99;1;186;190;3.85e-122;342;877
Ec-00_003360.1;EsuBft183_7a-00001;0.0152;0.09841;0.1545;96.145;399;415;13;2;3;406;97.83;1;413;413;100;100;1;414;414;0;749;1934
Ec-00_003370.1;EsuBft183_6a-00001;0.03198;0.1144;0.2795;94.014;267;284;17;0;0;275;96.83;1;284;286;99;99;1;284;286;0;508;1307
Ec-00_003380.1;EsuBft183_5a-00001;0.01895;0.1081;0.1753;95.993;527;549;21;1;1;533;97.09;1;549;549;100;100;1;548;548;0;1090;2818
Ec-00_003400.1;EsuBft1273_3a-00001;0.08172;0.215;0.38;82.16;175;213;33;3;5;182;85.45;237;448;448;47;47;44;252;252;8.74e-83;254;650
Ec-00_003410.1;EsuBft1273_5a-00001;0.01759;0.09183;0.1916;96.45;163;169;6;0;0;166;98.22;1;169;169;100;100;1;169;169;1.2e-118;332;850
Ec-00_003430.1;EsuBft1273_6a-00001;0.06654;0.1805;0.3687;93.581;277;296;19;0;0;282;95.27;19;314;314;94;94;53;348;348;1.42e-153;433;1113
Ec-00_003460.1;EsuBft584_10a-00001;0.02806;0.04339;0.6467;94.224;261;277;16;0;0;265;95.67;1;277;277;100;100;141;417;417;4.55e-162;456;1172
Ec-00_003470.1;EsuBft584_9a-00001;0.04908;0.08026;0.6115;89.276;641;718;66;2;11;656;91.36;450;1162;1162;61;61;1;712;712;0;1183;3061
Ec-00_003480.1;EsuBft584_6a-00001;0.02876;0.1359;0.2117;94.784;527;556;29;0;0;535;96.22;1;556;556;100;100;1;556;556;0;744;1922
Ec-00_003490.1;EsuBft584_5a-00001;0.01488;0.07949;0.1872;96.705;499;516;15;1;2;502;97.29;1;516;516;100;100;1;514;514;0;981;2536
Ec-00_003500.1;EsuBft584_4a-00001;0.02279;0.09558;0.2384;95.215;796;836;40;0;0;804;96.17;1;836;836;100;100;1;836;836;0;1427;3693
Ec-00_003530.1;EsuBft1385_13a-00001;0.02483;0.08871;0.2798;93.262;526;564;31;2;7;536;95.04;1;560;560;100;100;1;561;561;0;889;2296
Ec-00_003540.1;EsuBft1385_12a-00001;0.07279;0.121;0.6018;86.495;871;1007;121;5;15;907;90.07;113;1112;1150;87;87;1;999;1158;0;1312;3396
Ec-00_003560.1;EsuBft1385_11a-00001;0.006667;0.07803;0.08544;98.607;354;359;5;0;0;356;99.16;1;359;359;100;100;93;451;451;0;736;1899
Ec-00_003600.1;EsuBft3803_2a-00001;0.183;1.903;0.09619;64.865;144;222;61;2;17;169;76.13;1;221;233;95;95;268;473;577;3.82e-91;278;712
Ec-00_003720.1;EsuBft2879_2a-00001;0.4515;NA;NA;44.87;398;887;302;11;187;514;57.95;406;1199;1819;44;44;230;1022;1618;0;663;1710
Ec-00_003730.1;EsuBft1703_2a-00001;0.1773;0.2745;0.6457;73.485;194;264;35;1;35;207;78.41;14;277;319;83;83;8;236;267;8.97e-120;344;883
Ec-00_003740.1;EsuBft1918_6a-00001;0.06545;0.1602;0.4086;83.571;234;280;29;1;17;245;87.5;1;280;292;96;96;63;325;329;3.13e-175;486;1251
Ec-00_003770.1;EsuBft64_6a-00001;0.7394;NA;NA;33.194;159;479;280;10;40;230;48.02;357;809;871;52;52;354;818;889;5.84e-62;225;573
Ec-00_003780.2;EsuBft7353_2a-00001;0.3286;0.5878;0.559;52.459;32;61;27;1;2;46;75.41;5;65;102;60;60;19;77;78;2.63e-13;59.3;142
Ec-00_003800.1;EsuBft1048_5a-00001;0.5117;NA;NA;78.261;72;92;18;1;2;80;86.96;127;216;242;37;37;159;250;253;8.95e-47;155;391
Ec-00_003830.1;EsuBft1182_7a-00001;0.3213;0.4978;0.6454;90;54;60;5;1;1;55;91.67;61;120;136;44;44;23;81;107;3.8e-31;106;265
Ec-00_003860.1;EsuBft1907_9a-00001;0.02887;0.1009;0.2862;94.69;214;226;12;0;0;218;96.46;1;226;406;56;56;1;226;228;2.31e-114;333;853
Ec-00_003880.1;EsuBft2760_2a-00001;0.109;0.2;0.5448;92.248;119;129;10;0;0;120;93.02;1;129;151;85;85;1;129;266;3.15e-55;173;439
Ec-00_003910.1;EsuBft6252_2a-00001;0.3223;1.271;0.2537;54.274;127;234;54;4;53;150;64.1;93;298;298;69;69;86;294;294;1.32e-80;245;625
Ec-00_003920.1;EsuBft1744_7a-00001;0.5084;NA;NA;36.66;180;491;261;9;50;276;56.21;1;472;472;100;100;105;564;564;7.8e-95;296;759
Ec-00_003960.1;EsuBft1699_8a-00001;0.1737;0.4421;0.3928;72.115;225;312;83;3;4;255;81.73;1;309;310;99;99;1;311;313;2.02e-163;456;1174
Ec-00_003970.1;EsuBft1839_6a-00001;0.1219;0.3446;0.3538;87.097;54;62;8;0;0;56;90.32;16;77;78;79;79;171;232;305;4.07e-33;114;286
Ec-00_004030.1;EsuBft295_5a-00001;0.08079;0.1306;0.6186;68.623;304;443;56;7;83;317;71.56;45;483;931;47;47;1;364;365;1.15e-180;526;1354
Ec-00_004050.1;EsuBft3265_2a-00001;0.1002;0.2034;0.4929;76.993;338;439;28;4;73;347;79.04;29;467;542;81;81;1;366;558;0;610;1572
Ec-00_004110.1;EsuBft348_10a-00001;0.0841;0.3869;0.2174;75.801;213;281;42;1;26;232;82.56;1;255;260;98;98;150;430;576;1.71e-149;429;1102
Ec-00_004200.1;EsuBft171_19a-00001;0.2799;0.9936;0.2817;62.891;161;256;93;2;2;197;76.95;1;256;287;89;89;9;262;265;1.5e-112;325;832
Ec-00_004210.2;EsuBft2166_8a-00001;0.3886;NA;NA;52.33;146;279;131;2;2;190;68.1;225;502;509;55;55;9;286;290;3.43e-104;313;801
Ec-00_004280.1;EsuBft626_5a-00001;0.03864;0.095;0.4067;91.176;341;374;31;1;2;349;93.32;1;374;402;93;93;1;372;400;4.09e-178;501;1290
Ec-00_004290.1;EsuBft626_7a-00001;0.01903;0.08381;0.2271;95.536;428;448;19;1;1;433;96.65;1;448;448;100;100;1;447;447;0;862;2227
Ec-00_004310.1;EsuBft626_8a-00001;0.05019;0.09776;0.5134;88.336;568;643;62;2;13;586;91.14;1;638;638;100;100;1;635;635;0;1032;2669
Ec-00_004320.1;EsuBft626_9a-00001;0.08679;0.1322;0.6565;82.088;747;910;129;8;34;778;85.49;21;921;935;96;96;47;931;948;0;1038;2683
Ec-00_004330.1;EsuBft626_10a-00001;0.05381;0.08196;0.6566;78.797;799;1014;109;4;106;841;82.94;1;908;1137;80;80;1;1014;1015;0;1521;3939
Ec-00_004350.1;EsuBft519_6a-00001;0.01572;0.1267;0.1241;97.84;317;324;7;0;0;320;98.77;11;334;334;97;97;255;578;578;0;657;1696
Ec-00_004430.1;EsuBft1331_3a-00001;0.03674;0.06457;0.569;90.469;598;661;50;3;13;612;92.59;6;655;655;99;99;496;1154;1154;0;1169;3023
Ec-00_004450.1;EsuBft293_5a-00001;0.09904;0.1322;0.749;69.085;400;579;68;8;111;416;71.85;20;564;566;96;96;16;517;519;0;716;1847
Ec-00_004460.2;EsuBft3308_3a-00001;0.3193;2.255;0.1416;62;155;250;95;0;0;190;76;1;250;348;72;72;190;439;468;4.49e-103;310;795
Ec-00_004470.1;EsuBft833_22a-00001;0.167;0.731;0.2285;73.529;125;170;41;1;4;134;78.82;1;170;170;100;100;1;166;166;6.36e-85;246;628
Ec-00_004480.1;EsuBft3746_5a-00001;0.09803;0.1377;0.7122;81.343;327;402;73;2;2;346;86.07;1;401;401;100;100;88;488;488;0;610;1573
Ec-00_004520.1;EsuBft1078_5a-00001;0.0824;0.1785;0.4616;79.7;2446;3069;362;28;261;2544;82.89;218;3037;3037;93;93;25;3081;3081;0;4374;11344
Ec-00_004540.1;EsuBft1613_3a-00001;0.02347;0.08918;0.2632;72.331;332;459;26;4;101;347;75.6;184;541;549;65;65;1;459;461;0;585;1507
Ec-00_004550.1;EsuBft1613_4a-00001;0.05179;0.1097;0.4719;90.191;377;418;40;1;1;389;93.06;1;418;418;100;100;1;417;417;0;709;1831
Ec-00_004560.1;EsuBft1613_5a-00001;0.05794;0.1194;0.4852;87.651;1015;1158;119;5;24;1046;90.33;62;1201;1201;95;95;1;1152;1152;0;1761;4561
Ec-00_004570.1;EsuBft1613_6a-00001;0.01999;0.07885;0.2535;96.188;328;341;13;0;0;333;97.65;1;341;341;100;100;1;341;341;0;670;1729
Ec-00_004610.1;EsuBft186_5a-00001;0.06113;0.1313;0.4656;80;404;505;49;6;52;419;82.97;35;537;537;94;94;13;467;467;0;637;1643
Ec-00_004620.1;EsuBft186_6a-00001;0.0306;0.08317;0.3679;92.217;391;424;30;2;3;402;94.81;1;424;424;100;100;1;421;421;0;602;1552
Ec-00_004640.1;EsuBft186_7a-00001;0.04091;0.1041;0.393;87.21;866;993;102;7;25;897;90.33;57;1034;1034;95;95;1;983;983;0;1524;3945
Ec-00_004650.1;EsuBft186_8a-00001;0.03668;0.06791;0.5401;89.908;784;872;68;3;20;799;91.63;1;853;854;99;99;1;871;873;0;1362;3525
Ec-00_004670.1;EsuBft186_9a-00001;0.05468;0.09804;0.5578;85.276;973;1141;108;5;60;1004;87.99;36;1130;1809;84;61;244;1370;2207;0;1789;4634
Ec-00_004850.1;EsuBft2836_3a-00001;0.6289;NA;NA;40;44;110;36;1;30;57;51.82;1;110;243;45;45;31;110;120;9.24e-18;76.3;186
Ec-00_004880.2;EsuBft1080_6a-00001;0.1626;0.3531;0.4604;72.152;399;553;151;3;3;459;83;1;551;551;100;100;1;552;552;0;825;2130
Ec-00_004900.1;EsuBft52_45a-00001;0.08044;0.2278;0.3532;84.951;175;206;31;0;0;189;91.75;1;206;207;99;99;342;547;752;1.9e-124;368;944
Ec-00_004910.3;EsuBft5620_2a-00001;0.04954;0.08621;0.5746;78.755;215;273;32;2;26;227;83.15;40;309;440;61;61;2;251;255;1.56e-76;238;608
Ec-00_004950.1;EsuBft1628_3a-00001;0.4417;2.646;0.1669;43.182;57;132;62;2;13;77;58.33;12;142;155;85;85;112;231;318;1e-28;107;266
Ec-00_005000.1;EsuBft833_9a-00001;0.05553;0.1121;0.4956;94.425;271;287;15;1;1;276;96.17;36;321;347;82;82;36;322;407;0;563;1451
Ec-00_005000.3;EsuBft49_7a-00001;0.06877;0.1053;0.6532;85.6;107;125;17;1;1;111;88.8;1;125;271;46;46;1;124;125;1.1e-47;154;389
Ec-00_005010.1;EsuBft1651_9a-00001;0.2885;0.6176;0.4671;70.139;101;144;30;3;13;102;70.83;40;183;183;79;79;52;182;182;1.39e-42;140;352
Ec-00_005030.3;EsuBft1331_7a-00001;0.1289;0.1197;1.077;78.114;232;297;63;2;2;253;85.19;23;319;623;48;48;1;295;296;1.73e-149;432;1112
Ec-00_005120.1;EsuBft402_5a-00001;0.6002;NA;NA;31.944;69;216;115;12;32;102;47.22;87;278;338;57;57;11;218;235;3.04e-07;50.1;118
Ec-00_005130.1;EsuBft66_5a-00001;0.04149;0.1108;0.3746;92.026;577;627;50;0;0;595;94.9;1;627;778;81;81;28;654;664;0;1153;2982
Ec-00_005150.1;EsuBft827_2a-00001;0.04776;0.09537;0.5008;97.05;329;339;10;0;0;331;97.64;23;361;361;94;94;15;353;353;0;671;1732
Ec-00_005180.1;EsuBft1828_4a-00001;0.08335;0.1489;0.5598;73.684;630;855;98;8;127;662;77.43;112;902;914;87;87;30;821;833;0;847;2189
Ec-00_005190.1;EsuBft40_32a-00001;0.02477;0.09632;0.2572;91.228;52;57;5;0;0;53;92.98;61;117;118;48;48;54;110;189;4.32e-31;108;270
