GeneID,phylostratum,rank,taxonomic_representativeness,GeneID_new
dis_TRINITY_DN10045_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10045_c0_g1
dis_TRINITY_DN10048_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10048_c0_g1
dis_TRINITY_DN1004_c0_g1,Eukaryota,2,50,dis_TRINITY_DN1004_c0_g1
dis_TRINITY_DN1004_c0_g2,Eukaryota,2,100,dis_TRINITY_DN1004_c0_g2
dis_TRINITY_DN100513_c0_g1,Stramenopiles,4,50,dis_TRINITY_DN100513_c0_g1
dis_TRINITY_DN10051_c0_g1,cellular organisms,1,57,dis_TRINITY_DN10051_c0_g1
dis_TRINITY_DN10055_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10055_c0_g1
dis_TRINITY_DN10059_c0_g1,Sar,3,80,dis_TRINITY_DN10059_c0_g1
dis_TRINITY_DN10059_c0_g2,Phaeophyceae,7,100,dis_TRINITY_DN10059_c0_g2
dis_TRINITY_DN10061_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10061_c0_g1
dis_TRINITY_DN10066_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10066_c0_g1
dis_TRINITY_DN10067_c0_g2,cellular organisms,1,100,dis_TRINITY_DN10067_c0_g2
dis_TRINITY_DN10080_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10080_c0_g1
dis_TRINITY_DN10084_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10084_c0_g1
dis_TRINITY_DN100876_c0_g1,cellular organisms,1,100,dis_TRINITY_DN100876_c0_g1
dis_TRINITY_DN10087_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10087_c0_g1
dis_TRINITY_DN10089_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10089_c0_g1
dis_TRINITY_DN10093_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10093_c0_g1
dis_TRINITY_DN10095_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10095_c0_g1
dis_TRINITY_DN100_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN100_c0_g1
dis_TRINITY_DN100_c0_g3,Fucus distichus,8,100,dis_TRINITY_DN100_c0_g3
dis_TRINITY_DN101086_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN101086_c0_g1
dis_TRINITY_DN10119_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10119_c0_g1
dis_TRINITY_DN10128_c0_g1,cellular organisms,1,57,dis_TRINITY_DN10128_c0_g1
dis_TRINITY_DN101321_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN101321_c0_g1
dis_TRINITY_DN10133_c0_g1,cellular organisms,1,85,dis_TRINITY_DN10133_c0_g1
dis_TRINITY_DN1013_c0_g1,cellular organisms,1,100,dis_TRINITY_DN1013_c0_g1
dis_TRINITY_DN10140_c0_g1,Eukaryota,2,50,dis_TRINITY_DN10140_c0_g1
dis_TRINITY_DN10147_c0_g1,Eukaryota,2,33,dis_TRINITY_DN10147_c0_g1
dis_TRINITY_DN10150_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10150_c0_g1
dis_TRINITY_DN10150_c0_g4,Fucus distichus,8,100,dis_TRINITY_DN10150_c0_g4
dis_TRINITY_DN101555_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN101555_c0_g1
dis_TRINITY_DN10156_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10156_c0_g1
dis_TRINITY_DN10160_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10160_c0_g1
dis_TRINITY_DN10168_c0_g2,Phaeophyceae,7,100,dis_TRINITY_DN10168_c0_g2
dis_TRINITY_DN10168_c0_g3,Eukaryota,2,100,dis_TRINITY_DN10168_c0_g3
dis_TRINITY_DN10172_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10172_c0_g1
dis_TRINITY_DN10173_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10173_c0_g1
dis_TRINITY_DN101853_c0_g1,cellular organisms,1,42,dis_TRINITY_DN101853_c0_g1
dis_TRINITY_DN10189_c0_g1,cellular organisms,1,57,dis_TRINITY_DN10189_c0_g1
dis_TRINITY_DN10198_c0_g3,cellular organisms,1,100,dis_TRINITY_DN10198_c0_g3
dis_TRINITY_DN1019_c0_g2,cellular organisms,1,100,dis_TRINITY_DN1019_c0_g2
dis_TRINITY_DN101_c0_g1,Eukaryota,2,50,dis_TRINITY_DN101_c0_g1
dis_TRINITY_DN10208_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10208_c0_g1
dis_TRINITY_DN1020_c0_g1,cellular organisms,1,100,dis_TRINITY_DN1020_c0_g1
dis_TRINITY_DN10211_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10211_c0_g1
dis_TRINITY_DN10212_c0_g2,cellular organisms,1,85,dis_TRINITY_DN10212_c0_g2
dis_TRINITY_DN10214_c1_g1,Fucus distichus,8,100,dis_TRINITY_DN10214_c1_g1
dis_TRINITY_DN10219_c0_g1,Sar,3,100,dis_TRINITY_DN10219_c0_g1
dis_TRINITY_DN10229_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10229_c0_g1
dis_TRINITY_DN10233_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10233_c0_g2
dis_TRINITY_DN10236_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10236_c0_g1
dis_TRINITY_DN1023_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1023_c0_g1
dis_TRINITY_DN10242_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10242_c0_g1
dis_TRINITY_DN10243_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10243_c0_g1
dis_TRINITY_DN10248_c0_g2,Eukaryota,2,50,dis_TRINITY_DN10248_c0_g2
dis_TRINITY_DN10249_c1_g1,cellular organisms,1,100,dis_TRINITY_DN10249_c1_g1
dis_TRINITY_DN10250_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10250_c0_g1
dis_TRINITY_DN10251_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10251_c0_g2
dis_TRINITY_DN10255_c0_g1,cellular organisms,1,71,dis_TRINITY_DN10255_c0_g1
dis_TRINITY_DN10262_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10262_c0_g1
dis_TRINITY_DN10269_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10269_c0_g1
dis_TRINITY_DN10276_c0_g1,cellular organisms,1,57,dis_TRINITY_DN10276_c0_g1
dis_TRINITY_DN102784_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN102784_c0_g1
dis_TRINITY_DN1027_c2_g2,Fucus distichus,8,100,dis_TRINITY_DN1027_c2_g2
dis_TRINITY_DN1027_c2_g4,cellular organisms,1,100,dis_TRINITY_DN1027_c2_g4
dis_TRINITY_DN1027_c2_g6,Fucus distichus,8,100,dis_TRINITY_DN1027_c2_g6
dis_TRINITY_DN10280_c0_g4,Fucus distichus,8,100,dis_TRINITY_DN10280_c0_g4
dis_TRINITY_DN10280_c0_g5,cellular organisms,1,100,dis_TRINITY_DN10280_c0_g5
dis_TRINITY_DN1028_c0_g2,Stramenopiles,4,75,dis_TRINITY_DN1028_c0_g2
dis_TRINITY_DN10291_c0_g1,cellular organisms,1,42,dis_TRINITY_DN10291_c0_g1
dis_TRINITY_DN10292_c0_g2,cellular organisms,1,57,dis_TRINITY_DN10292_c0_g2
dis_TRINITY_DN1029_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1029_c0_g1
dis_TRINITY_DN102_c0_g1,cellular organisms,1,100,dis_TRINITY_DN102_c0_g1
dis_TRINITY_DN10301_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10301_c0_g1
dis_TRINITY_DN10304_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10304_c0_g1
dis_TRINITY_DN10305_c0_g2,Phaeophyceae,7,100,dis_TRINITY_DN10305_c0_g2
dis_TRINITY_DN10305_c0_g5,Phaeophyceae,7,100,dis_TRINITY_DN10305_c0_g5
dis_TRINITY_DN10306_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10306_c0_g1
dis_TRINITY_DN10307_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10307_c0_g1
dis_TRINITY_DN10309_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10309_c0_g1
dis_TRINITY_DN1030_c0_g2,cellular organisms,1,100,dis_TRINITY_DN1030_c0_g2
dis_TRINITY_DN10310_c3_g2,Phaeophyceae,7,100,dis_TRINITY_DN10310_c3_g2
dis_TRINITY_DN10319_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10319_c0_g1
dis_TRINITY_DN1031_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1031_c0_g1
dis_TRINITY_DN10335_c0_g4,Fucus distichus,8,100,dis_TRINITY_DN10335_c0_g4
dis_TRINITY_DN10336_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10336_c0_g1
dis_TRINITY_DN10338_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10338_c0_g1
dis_TRINITY_DN10343_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10343_c0_g1
dis_TRINITY_DN10344_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10344_c0_g1
dis_TRINITY_DN10347_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10347_c0_g1
dis_TRINITY_DN10350_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10350_c0_g1
dis_TRINITY_DN10351_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10351_c0_g1
dis_TRINITY_DN10353_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10353_c0_g1
dis_TRINITY_DN10357_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10357_c0_g1
dis_TRINITY_DN10359_c1_g4,cellular organisms,1,100,dis_TRINITY_DN10359_c1_g4
dis_TRINITY_DN1035_c0_g1,cellular organisms,1,100,dis_TRINITY_DN1035_c0_g1
dis_TRINITY_DN10362_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10362_c0_g1
dis_TRINITY_DN10362_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10362_c0_g2
dis_TRINITY_DN10366_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10366_c0_g1
dis_TRINITY_DN10368_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10368_c0_g1
dis_TRINITY_DN1036_c0_g2,Ochrophyta,5,100,dis_TRINITY_DN1036_c0_g2
dis_TRINITY_DN1036_c0_g4,cellular organisms,1,100,dis_TRINITY_DN1036_c0_g4
dis_TRINITY_DN10375_c0_g1,Eukaryota,2,83,dis_TRINITY_DN10375_c0_g1
dis_TRINITY_DN10379_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10379_c0_g1
dis_TRINITY_DN1037_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1037_c0_g1
dis_TRINITY_DN1038_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1038_c0_g1
dis_TRINITY_DN1038_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN1038_c0_g2
dis_TRINITY_DN10392_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10392_c0_g1
dis_TRINITY_DN10397_c0_g3,Phaeophyceae,7,100,dis_TRINITY_DN10397_c0_g3
dis_TRINITY_DN1039_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1039_c0_g1
dis_TRINITY_DN10402_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10402_c0_g1
dis_TRINITY_DN10403_c0_g1,cellular organisms,1,57,dis_TRINITY_DN10403_c0_g1
dis_TRINITY_DN10403_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10403_c0_g2
dis_TRINITY_DN10403_c0_g3,Fucus distichus,8,100,dis_TRINITY_DN10403_c0_g3
dis_TRINITY_DN10406_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10406_c0_g1
dis_TRINITY_DN1040_c0_g4,Fucus distichus,8,100,dis_TRINITY_DN1040_c0_g4
dis_TRINITY_DN10415_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10415_c0_g1
dis_TRINITY_DN10416_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10416_c0_g1
dis_TRINITY_DN104197_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN104197_c0_g1
dis_TRINITY_DN10422_c0_g1,Eukaryota,2,33,dis_TRINITY_DN10422_c0_g1
dis_TRINITY_DN10423_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10423_c0_g1
dis_TRINITY_DN10435_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10435_c0_g1
dis_TRINITY_DN10438_c0_g1,cellular organisms,1,57,dis_TRINITY_DN10438_c0_g1
dis_TRINITY_DN10439_c0_g1,Eukaryota,2,100,dis_TRINITY_DN10439_c0_g1
dis_TRINITY_DN1043_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1043_c0_g1
dis_TRINITY_DN10440_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10440_c0_g1
dis_TRINITY_DN10442_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10442_c0_g1
dis_TRINITY_DN10444_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10444_c0_g2
dis_TRINITY_DN10445_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10445_c0_g1
dis_TRINITY_DN10446_c0_g1,cellular organisms,1,85,dis_TRINITY_DN10446_c0_g1
dis_TRINITY_DN10446_c0_g2,Eukaryota,2,66,dis_TRINITY_DN10446_c0_g2
dis_TRINITY_DN1044_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1044_c0_g1
dis_TRINITY_DN10450_c0_g2,Eukaryota,2,100,dis_TRINITY_DN10450_c0_g2
dis_TRINITY_DN10450_c0_g4,Fucus distichus,8,100,dis_TRINITY_DN10450_c0_g4
dis_TRINITY_DN10451_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10451_c0_g1
dis_TRINITY_DN10452_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10452_c0_g1
dis_TRINITY_DN10453_c0_g2,cellular organisms,1,100,dis_TRINITY_DN10453_c0_g2
dis_TRINITY_DN10454_c0_g2,cellular organisms,1,100,dis_TRINITY_DN10454_c0_g2
dis_TRINITY_DN10456_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10456_c0_g1
dis_TRINITY_DN10457_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10457_c0_g1
dis_TRINITY_DN1045_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1045_c0_g1
dis_TRINITY_DN10462_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10462_c0_g1
dis_TRINITY_DN10463_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10463_c0_g1
dis_TRINITY_DN10463_c0_g4,cellular organisms,1,100,dis_TRINITY_DN10463_c0_g4
dis_TRINITY_DN10464_c0_g1,cellular organisms,1,71,dis_TRINITY_DN10464_c0_g1
dis_TRINITY_DN10464_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10464_c0_g2
dis_TRINITY_DN10465_c0_g3,Sar,3,80,dis_TRINITY_DN10465_c0_g3
dis_TRINITY_DN10467_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10467_c0_g1
dis_TRINITY_DN10468_c0_g1,cellular organisms,1,71,dis_TRINITY_DN10468_c0_g1
dis_TRINITY_DN1046_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1046_c0_g1
dis_TRINITY_DN10471_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10471_c0_g1
dis_TRINITY_DN10471_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10471_c0_g2
dis_TRINITY_DN10472_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10472_c0_g1
dis_TRINITY_DN10477_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10477_c0_g1
dis_TRINITY_DN10477_c0_g2,Phaeophyceae,7,100,dis_TRINITY_DN10477_c0_g2
dis_TRINITY_DN10477_c0_g3,Fucus distichus,8,100,dis_TRINITY_DN10477_c0_g3
dis_TRINITY_DN10479_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10479_c0_g1
dis_TRINITY_DN1047_c0_g1,Eukaryota,2,50,dis_TRINITY_DN1047_c0_g1
dis_TRINITY_DN10480_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10480_c0_g1
dis_TRINITY_DN10481_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10481_c0_g1
dis_TRINITY_DN10483_c0_g3,Fucus distichus,8,100,dis_TRINITY_DN10483_c0_g3
dis_TRINITY_DN10484_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10484_c0_g1
dis_TRINITY_DN1048_c0_g1,Eukaryota,2,50,dis_TRINITY_DN1048_c0_g1
dis_TRINITY_DN10490_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10490_c0_g2
dis_TRINITY_DN10492_c0_g1,cellular organisms,1,85,dis_TRINITY_DN10492_c0_g1
dis_TRINITY_DN10493_c0_g3,Fucus distichus,8,100,dis_TRINITY_DN10493_c0_g3
dis_TRINITY_DN10495_c0_g2,Phaeophyceae,7,100,dis_TRINITY_DN10495_c0_g2
dis_TRINITY_DN10495_c0_g3,Eukaryota,2,100,dis_TRINITY_DN10495_c0_g3
dis_TRINITY_DN10497_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10497_c0_g1
dis_TRINITY_DN1049_c0_g1,Ochrophyta,5,100,dis_TRINITY_DN1049_c0_g1
dis_TRINITY_DN104_c0_g1,cellular organisms,1,85,dis_TRINITY_DN104_c0_g1
dis_TRINITY_DN104_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN104_c0_g2
dis_TRINITY_DN10501_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10501_c0_g1
dis_TRINITY_DN10505_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10505_c0_g1
dis_TRINITY_DN10506_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10506_c0_g1
dis_TRINITY_DN10508_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10508_c0_g1
dis_TRINITY_DN10509_c0_g4,Phaeophyceae,7,100,dis_TRINITY_DN10509_c0_g4
dis_TRINITY_DN1050_c0_g1,Eukaryota,2,100,dis_TRINITY_DN1050_c0_g1
dis_TRINITY_DN10517_c0_g1,cellular organisms,1,85,dis_TRINITY_DN10517_c0_g1
dis_TRINITY_DN10518_c0_g1,Eukaryota,2,50,dis_TRINITY_DN10518_c0_g1
dis_TRINITY_DN10518_c0_g6,Fucus distichus,8,100,dis_TRINITY_DN10518_c0_g6
dis_TRINITY_DN1051_c0_g1,cellular organisms,1,100,dis_TRINITY_DN1051_c0_g1
dis_TRINITY_DN10523_c0_g6,cellular organisms,1,100,dis_TRINITY_DN10523_c0_g6
dis_TRINITY_DN10527_c0_g1,Eukaryota,2,83,dis_TRINITY_DN10527_c0_g1
dis_TRINITY_DN10531_c0_g1,Eukaryota,2,100,dis_TRINITY_DN10531_c0_g1
dis_TRINITY_DN10537_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10537_c0_g1
dis_TRINITY_DN10538_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10538_c0_g1
dis_TRINITY_DN10542_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10542_c0_g1
dis_TRINITY_DN10548_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10548_c0_g1
dis_TRINITY_DN1054_c0_g1,cellular organisms,1,100,dis_TRINITY_DN1054_c0_g1
dis_TRINITY_DN10555_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10555_c0_g1
dis_TRINITY_DN10558_c0_g2,Stramenopiles,4,50,dis_TRINITY_DN10558_c0_g2
dis_TRINITY_DN10560_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10560_c0_g1
dis_TRINITY_DN1056_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1056_c0_g1
dis_TRINITY_DN10573_c2_g3,Fucus distichus,8,100,dis_TRINITY_DN10573_c2_g3
dis_TRINITY_DN10573_c2_g5,Fucus distichus,8,100,dis_TRINITY_DN10573_c2_g5
dis_TRINITY_DN10574_c0_g2,cellular organisms,1,85,dis_TRINITY_DN10574_c0_g2
dis_TRINITY_DN10579_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10579_c0_g1
dis_TRINITY_DN1057_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1057_c0_g1
dis_TRINITY_DN1058_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1058_c0_g1
dis_TRINITY_DN10594_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10594_c0_g1
dis_TRINITY_DN10596_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10596_c0_g2
dis_TRINITY_DN1059_c1_g2,cellular organisms,1,71,dis_TRINITY_DN1059_c1_g2
dis_TRINITY_DN105_c0_g1,cellular organisms,1,100,dis_TRINITY_DN105_c0_g1
dis_TRINITY_DN10601_c0_g4,Phaeophyceae,7,100,dis_TRINITY_DN10601_c0_g4
dis_TRINITY_DN10604_c0_g1,Stramenopiles,4,50,dis_TRINITY_DN10604_c0_g1
dis_TRINITY_DN10605_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10605_c0_g1
dis_TRINITY_DN10606_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10606_c0_g2
dis_TRINITY_DN10609_c0_g1,cellular organisms,1,85,dis_TRINITY_DN10609_c0_g1
dis_TRINITY_DN10610_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10610_c0_g1
dis_TRINITY_DN10610_c0_g2,Eukaryota,2,100,dis_TRINITY_DN10610_c0_g2
dis_TRINITY_DN10617_c0_g3,Fucus distichus,8,100,dis_TRINITY_DN10617_c0_g3
dis_TRINITY_DN1061_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1061_c0_g1
dis_TRINITY_DN1062_c0_g2,cellular organisms,1,85,dis_TRINITY_DN1062_c0_g2
dis_TRINITY_DN10632_c0_g1,cellular organisms,1,100,dis_TRINITY_DN10632_c0_g1
dis_TRINITY_DN10634_c0_g4,Phaeophyceae,7,100,dis_TRINITY_DN10634_c0_g4
dis_TRINITY_DN1063_c0_g1,PX clade,6,100,dis_TRINITY_DN1063_c0_g1
dis_TRINITY_DN10643_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10643_c0_g1
dis_TRINITY_DN10647_c0_g1,PX clade,6,100,dis_TRINITY_DN10647_c0_g1
dis_TRINITY_DN10658_c0_g2,Eukaryota,2,83,dis_TRINITY_DN10658_c0_g2
dis_TRINITY_DN1066_c0_g4,cellular organisms,1,100,dis_TRINITY_DN1066_c0_g4
dis_TRINITY_DN10680_c0_g1,Eukaryota,2,83,dis_TRINITY_DN10680_c0_g1
dis_TRINITY_DN10687_c1_g3,Fucus distichus,8,100,dis_TRINITY_DN10687_c1_g3
dis_TRINITY_DN10697_c0_g1,Eukaryota,2,66,dis_TRINITY_DN10697_c0_g1
dis_TRINITY_DN10698_c2_g1,Fucus distichus,8,100,dis_TRINITY_DN10698_c2_g1
dis_TRINITY_DN106_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN106_c0_g1
dis_TRINITY_DN106_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN106_c0_g2
dis_TRINITY_DN106_c0_g3,Stramenopiles,4,50,dis_TRINITY_DN106_c0_g3
dis_TRINITY_DN10700_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN10700_c0_g1
dis_TRINITY_DN10702_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10702_c0_g1
dis_TRINITY_DN1070_c0_g8,Fucus distichus,8,100,dis_TRINITY_DN1070_c0_g8
dis_TRINITY_DN10713_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10713_c0_g1
dis_TRINITY_DN10718_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10718_c0_g1
dis_TRINITY_DN1071_c0_g1,Eukaryota,2,66,dis_TRINITY_DN1071_c0_g1
dis_TRINITY_DN1073_c0_g3,Phaeophyceae,7,100,dis_TRINITY_DN1073_c0_g3
dis_TRINITY_DN1073_c0_g4,cellular organisms,1,100,dis_TRINITY_DN1073_c0_g4
dis_TRINITY_DN10746_c0_g2,Fucus distichus,8,100,dis_TRINITY_DN10746_c0_g2
dis_TRINITY_DN10746_c1_g1,Eukaryota,2,83,dis_TRINITY_DN10746_c1_g1
dis_TRINITY_DN1074_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1074_c0_g1
dis_TRINITY_DN10759_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN10759_c0_g1
dis_TRINITY_DN1075_c0_g1,Fucus distichus,8,100,dis_TRINITY_DN1075_c0_g1
dis_TRINITY_DN1076_c0_g1,Eukaryota,2,33,dis_TRINITY_DN1076_c0_g1
dis_TRINITY_DN1077_c0_g1,Phaeophyceae,7,100,dis_TRINITY_DN1077_c0_g1
dis_TRINITY_DN10784_c0_g2,Eukaryota,2,33,dis_TRINITY_DN10784_c0_g2
