GeneID,phylostratum,rank,taxonomic_representativeness
Ec-00_000560.1,Phaeophyceae,7,100
Ec-00_000570.1,Ectocarpales,9,100
Ec-00_000580.1,ALE clade,8,66
Ec-00_000590.1,Phaeophyceae,7,100
Ec-00_000600.1,Phaeophyceae,7,100
Ec-00_000620.1,Phaeophyceae,7,100
Ec-00_000625.1,Ectocarpus siliculosus,11,100
Ec-00_000630.1,cellular organisms,1,90
Ec-00_000640.1,cellular organisms,1,90
Ec-00_000650.2,Ectocarpus siliculosus,11,100
Ec-00_000660.2,Ectocarpus siliculosus,11,100
Ec-00_000670.1,cellular organisms,1,100
Ec-00_000680.1,PX clade,6,100
Ec-00_000690.1,Phaeophyceae,7,100
Ec-00_000710.1,Ectocarpales,9,50
Ec-00_000720.1,cellular organisms,1,100
Ec-00_000730.1,Eukaryota,2,44
Ec-00_000740.2,Ectocarpus siliculosus,11,100
Ec-00_000750.1,Phaeophyceae,7,100
Ec-00_000760.2,Ectocarpus siliculosus,11,100
Ec-00_000770.1,Ectocarpales,9,100
Ec-00_000780.1,Eukaryota,2,77
Ec-00_000790.1,cellular organisms,1,100
Ec-00_000800.1,Ectocarpus,10,100
Ec-00_000810.1,Phaeophyceae,7,100
Ec-00_000820.1,cellular organisms,1,100
Ec-00_000830.1,Phaeophyceae,7,75
Ec-00_000840.1,Sar,3,87
Ec-00_000850.2,Phaeophyceae,7,75
Ec-00_000860.1,Phaeophyceae,7,100
Ec-00_000870.2,Ectocarpus siliculosus,11,100
Ec-00_000880.1,cellular organisms,1,60
Ec-00_000890.1,cellular organisms,1,100
Ec-00_000900.1,ALE clade,8,100
Ec-00_000910.1,Ectocarpus siliculosus,11,100
Ec-00_000920.1,Eukaryota,2,88
Ec-00_000930.1,cellular organisms,1,50
Ec-00_000940.1,cellular organisms,1,100
Ec-00_000950.1,cellular organisms,1,100
Ec-00_000970.1,cellular organisms,1,100
Ec-00_000980.1,cellular organisms,1,100
Ec-00_000990.1,Stramenopiles,4,57
Ec-00_001000.1,cellular organisms,1,100
Ec-00_001020.1,cellular organisms,1,90
Ec-00_001030.1,Ectocarpales,9,50
Ec-00_001040.1,Stramenopiles,4,71
Ec-00_001070.1,Phaeophyceae,7,75
Ec-00_001080.1,cellular organisms,1,100
Ec-00_001090.1,Phaeophyceae,7,100
Ec-00_001100.1,Ochrophyta,5,100
Ec-00_001110.1,cellular organisms,1,60
Ec-00_001120.1,Eukaryota,2,77
Ec-00_001130.1,cellular organisms,1,100
Ec-00_001140.2,Eukaryota,2,100
Ec-00_001150.1,Eukaryota,2,88
Ec-00_001160.1,cellular organisms,1,100
Ec-00_001170.2,cellular organisms,1,60
Ec-00_001180.1,cellular organisms,1,70
Ec-00_001190.1,PX clade,6,100
Ec-00_001200.1,cellular organisms,1,80
Ec-00_001210.1,Ectocarpus siliculosus,11,100
Ec-00_001220.1,cellular organisms,1,90
Ec-00_001230.1,cellular organisms,1,100
Ec-00_001240.1,cellular organisms,1,100
Ec-00_001250.2,Ectocarpus siliculosus,11,100
Ec-00_001260.1,Eukaryota,2,44
Ec-00_001270.1,Ectocarpus siliculosus,11,100
Ec-00_001280.1,cellular organisms,1,100
Ec-00_001290.1,Phaeophyceae,7,100
Ec-00_001300.1,cellular organisms,1,100
Ec-00_001310.1,cellular organisms,1,100
Ec-00_001320.1,cellular organisms,1,100
Ec-00_001330.1,Ectocarpus siliculosus,11,100
Ec-00_001340.1,Phaeophyceae,7,75
Ec-00_001350.1,Eukaryota,2,66
Ec-00_001360.1,cellular organisms,1,100
Ec-00_001370.1,cellular organisms,1,100
Ec-00_001380.1,Eukaryota,2,100
Ec-00_001390.1,Stramenopiles,4,85
Ec-00_001400.1,cellular organisms,1,100
Ec-00_001410.1,cellular organisms,1,100
Ec-00_001420.2,cellular organisms,1,100
Ec-00_001430.1,cellular organisms,1,100
Ec-00_001440.1,cellular organisms,1,90
Ec-00_001450.1,cellular organisms,1,90
Ec-00_001460.1,cellular organisms,1,90
Ec-00_001480.1,ALE clade,8,100
Ec-00_001490.1,cellular organisms,1,100
Ec-00_001500.1,cellular organisms,1,90
Ec-00_001510.1,PX clade,6,100
Ec-00_001520.1,Ectocarpus,10,100
Ec-00_001530.1,cellular organisms,1,100
Ec-00_001540.1,Phaeophyceae,7,100
Ec-00_001550.1,cellular organisms,1,100
Ec-00_001560.1,ALE clade,8,66
Ec-00_001570.1,Phaeophyceae,7,100
Ec-00_001580.1,cellular organisms,1,100
Ec-00_001590.1,Ectocarpales,9,100
Ec-00_001600.1,PX clade,6,100
Ec-00_001610.1,Phaeophyceae,7,100
Ec-00_001620.1,cellular organisms,1,100
Ec-00_001630.1,cellular organisms,1,100
Ec-00_001640.1,cellular organisms,1,100
Ec-00_001650.1,Ectocarpus,10,100
Ec-00_001660.2,Ectocarpus siliculosus,11,100
Ec-00_001670.1,Ectocarpus,10,100
Ec-00_001680.1,ALE clade,8,100
Ec-00_001690.2,Sar,3,87
Ec-00_001700.1,Eukaryota,2,77
Ec-00_001710.1,Phaeophyceae,7,100
Ec-00_001720.1,cellular organisms,1,100
Ec-00_001730.1,cellular organisms,1,100
Ec-00_001740.1,Eukaryota,2,44
Ec-00_001750.1,cellular organisms,1,100
Ec-00_001760.1,Phaeophyceae,7,100
Ec-00_001770.1,Ectocarpus,10,100
Ec-00_001780.1,Ectocarpus siliculosus,11,100
Ec-00_001790.2,ALE clade,8,66
Ec-00_001800.1,cellular organisms,1,90
Ec-00_001810.1,cellular organisms,1,80
Ec-00_001820.1,Ectocarpus siliculosus,11,100
Ec-00_001850.1,cellular organisms,1,90
Ec-00_001860.1,cellular organisms,1,100
Ec-00_001870.1,cellular organisms,1,90
Ec-00_001885.1,cellular organisms,1,90
Ec-00_001890.1,Eukaryota,2,88
Ec-00_001900.2,cellular organisms,1,90
Ec-00_001910.1,Eukaryota,2,100
Ec-00_001920.1,cellular organisms,1,90
Ec-00_001930.1,cellular organisms,1,100
Ec-00_001940.1,cellular organisms,1,90
Ec-00_001950.1,Phaeophyceae,7,100
Ec-00_001960.1,cellular organisms,1,100
Ec-00_001970.1,Ectocarpus siliculosus,11,100
Ec-00_001980.2,Ectocarpus siliculosus,11,100
Ec-00_001990.1,Phaeophyceae,7,75
Ec-00_002000.1,PX clade,6,100
Ec-00_002010.1,cellular organisms,1,100
Ec-00_002020.1,Phaeophyceae,7,100
Ec-00_002030.1,cellular organisms,1,100
Ec-00_002040.1,cellular organisms,1,100
Ec-00_002050.2,cellular organisms,1,100
Ec-00_002060.1,Phaeophyceae,7,100
Ec-00_002070.1,cellular organisms,1,100
Ec-00_002080.1,Phaeophyceae,7,100
Ec-00_002090.1,cellular organisms,1,100
Ec-00_002100.1,cellular organisms,1,100
Ec-00_002110.1,ALE clade,8,66
Ec-00_002120.1,Ectocarpus siliculosus,11,100
Ec-00_002130.1,Eukaryota,2,55
Ec-00_002140.1,Phaeophyceae,7,100
Ec-00_002160.1,cellular organisms,1,100
Ec-00_002170.1,Eukaryota,2,100
Ec-00_002190.1,Phaeophyceae,7,100
Ec-00_002200.1,cellular organisms,1,50
Ec-00_002210.1,cellular organisms,1,100
Ec-00_002230.1,Ectocarpus siliculosus,11,100
Ec-00_002240.1,Phaeophyceae,7,100
Ec-00_002250.1,Eukaryota,2,100
Ec-00_002260.1,Eukaryota,2,100
Ec-00_002270.1,Ectocarpus siliculosus,11,100
Ec-00_002280.1,Ectocarpales,9,100
Ec-00_002290.1,Ectocarpus siliculosus,11,100
Ec-00_002310.1,Phaeophyceae,7,100
Ec-00_002320.1,cellular organisms,1,100
Ec-00_002330.1,Phaeophyceae,7,75
Ec-00_002340.1,cellular organisms,1,50
Ec-00_002350.1,Phaeophyceae,7,100
Ec-00_002360.1,Phaeophyceae,7,75
Ec-00_002370.1,Phaeophyceae,7,100
Ec-00_002380.1,cellular organisms,1,50
Ec-00_002390.1,Phaeophyceae,7,100
Ec-00_002400.1,ALE clade,8,100
Ec-00_002410.1,Ectocarpus siliculosus,11,100
Ec-00_002420.1,Phaeophyceae,7,100
Ec-00_002430.1,Eukaryota,2,88
Ec-00_002440.1,Ectocarpus,10,100
Ec-00_002450.1,Ectocarpus siliculosus,11,100
Ec-00_002470.1,cellular organisms,1,90
Ec-00_002480.1,Phaeophyceae,7,100
Ec-00_002490.1,Phaeophyceae,7,100
Ec-00_002500.1,Ectocarpus siliculosus,11,100
Ec-00_002510.1,Ectocarpales,9,100
Ec-00_002520.1,Ectocarpus siliculosus,11,100
Ec-00_002530.1,cellular organisms,1,100
Ec-00_002540.1,cellular organisms,1,60
Ec-00_002550.1,Possible contamination or HGT,NA,30
Ec-00_002560.1,ALE clade,8,100
Ec-00_002570.1,cellular organisms,1,100
Ec-00_002580.1,Ectocarpus,10,100
Ec-00_002590.1,Phaeophyceae,7,75
Ec-00_002600.1,Sar,3,87
Ec-00_002610.2,Ectocarpus siliculosus,11,100
Ec-00_002620.2,Ectocarpus siliculosus,11,100
Ec-00_002630.1,Sar,3,100
Ec-00_002640.1,cellular organisms,1,90
Ec-00_002650.1,cellular organisms,1,80
Ec-00_002660.1,Ectocarpus siliculosus,11,100
Ec-00_002670.1,cellular organisms,1,100
Ec-00_002680.1,Phaeophyceae,7,100
Ec-00_002690.1,cellular organisms,1,90
Ec-00_002700.1,Eukaryota,2,77
Ec-00_002710.1,Phaeophyceae,7,100
Ec-00_002720.1,Ectocarpus siliculosus,11,100
Ec-00_002730.1,Phaeophyceae,7,75
Ec-00_002740.1,Ectocarpales,9,100
Ec-00_002750.1,Ectocarpus siliculosus,11,100
Ec-00_002760.1,cellular organisms,1,100
Ec-00_002770.1,Eukaryota,2,88
Ec-00_002780.1,Phaeophyceae,7,100
Ec-00_002790.1,Phaeophyceae,7,75
Ec-00_002800.1,Phaeophyceae,7,100
Ec-00_002810.1,Ectocarpus siliculosus,11,100
Ec-00_002820.1,cellular organisms,1,100
Ec-00_002830.1,PX clade,6,100
Ec-00_002840.1,cellular organisms,1,100
Ec-00_002850.1,Ectocarpus siliculosus,11,100
Ec-00_002870.2,Ectocarpales,9,100
Ec-00_002880.1,Ectocarpus siliculosus,11,100
Ec-00_002890.1,Ectocarpus siliculosus,11,100
Ec-00_002900.1,Ectocarpus siliculosus,11,100
Ec-00_002910.1,Ochrophyta,5,100
Ec-00_002920.1,Eukaryota,2,33
Ec-00_002930.1,ALE clade,8,100
Ec-00_002940.1,cellular organisms,1,100
Ec-00_002950.1,cellular organisms,1,100
Ec-00_002960.2,Ectocarpus siliculosus,11,100
Ec-00_002970.1,ALE clade,8,100
Ec-00_003000.1,Ectocarpus siliculosus,11,100
Ec-00_003010.1,Phaeophyceae,7,100
Ec-00_003030.1,cellular organisms,1,100
Ec-00_003040.1,PX clade,6,100
Ec-00_003050.1,Ectocarpus siliculosus,11,100
Ec-00_003060.1,Sar,3,87
Ec-00_003070.1,Ectocarpus siliculosus,11,100
Ec-00_003080.1,Phaeophyceae,7,100
Ec-00_003090.1,Ectocarpus siliculosus,11,100
Ec-00_003120.1,Phaeophyceae,7,75
Ec-00_003130.1,Phaeophyceae,7,100
Ec-00_003140.1,ALE clade,8,100
Ec-00_003150.1,Phaeophyceae,7,100
Ec-00_003160.1,cellular organisms,1,100
Ec-00_003170.1,ALE clade,8,100
Ec-00_003180.1,Eukaryota,2,88
Ec-00_003190.1,Eukaryota,2,77
Ec-00_003200.1,Ectocarpus siliculosus,11,100
Ec-00_003210.1,cellular organisms,1,90
Ec-00_003220.1,Ectocarpus,10,100
Ec-00_003230.1,Ectocarpus siliculosus,11,100
Ec-00_003240.1,Ectocarpus siliculosus,11,100
Ec-00_003250.1,cellular organisms,1,60
Ec-00_003260.1,Sar,3,62
Ec-00_003265.1,cellular organisms,1,90
Ec-00_003270.1,cellular organisms,1,100
Ec-00_003280.1,Phaeophyceae,7,100
Ec-00_003290.1,Eukaryota,2,88
Ec-00_003300.1,ALE clade,8,100
Ec-00_003310.3,ALE clade,8,33
Ec-00_003320.1,Stramenopiles,4,71
Ec-00_003330.1,cellular organisms,1,80
Ec-00_003340.2,Ectocarpus siliculosus,11,100
Ec-00_003350.1,cellular organisms,1,100
Ec-00_003360.1,cellular organisms,1,100
Ec-00_003370.1,cellular organisms,1,100
Ec-00_003380.1,cellular organisms,1,90
Ec-00_003390.1,cellular organisms,1,100
Ec-00_003400.1,cellular organisms,1,100
Ec-00_003410.1,cellular organisms,1,100
Ec-00_003420.1,Phaeophyceae,7,75
Ec-00_003430.1,cellular organisms,1,100
Ec-00_003440.1,cellular organisms,1,100
Ec-00_003450.1,Ectocarpus siliculosus,11,100
Ec-00_003460.1,cellular organisms,1,70
Ec-00_003470.1,cellular organisms,1,100
Ec-00_003480.1,Phaeophyceae,7,100
Ec-00_003490.1,Eukaryota,2,100
Ec-00_003500.1,cellular organisms,1,50
Ec-00_003510.1,Ectocarpus siliculosus,11,100
Ec-00_003520.1,cellular organisms,1,100
Ec-00_003530.1,cellular organisms,1,70
Ec-00_003540.1,Phaeophyceae,7,100
Ec-00_003550.2,Ectocarpus siliculosus,11,100
Ec-00_003560.1,cellular organisms,1,100
Ec-00_003570.1,Phaeophyceae,7,100
Ec-00_003580.1,Ectocarpales,9,100
Ec-00_003590.1,Ectocarpus siliculosus,11,100
Ec-00_003600.1,cellular organisms,1,80
Ec-00_003620.1,Phaeophyceae,7,100
Ec-00_003640.1,ALE clade,8,100
Ec-00_003650.3,Ectocarpus siliculosus,11,100
Ec-00_003660.1,ALE clade,8,33
Ec-00_003670.1,Stramenopiles,4,57
Ec-00_003680.1,Ectocarpus siliculosus,11,100
Ec-00_003690.1,Phaeophyceae,7,100
Ec-00_003700.1,Possible contamination or HGT,NA,11
Ec-00_003710.2,Ectocarpus siliculosus,11,100
Ec-00_003720.1,cellular organisms,1,90
Ec-00_003730.1,ALE clade,8,66
Ec-00_003740.1,Eukaryota,2,88
Ec-00_003750.1,Ectocarpales,9,100
Ec-00_003760.1,Ectocarpus siliculosus,11,100
Ec-00_003770.1,Phaeophyceae,7,100
Ec-00_003780.2,Ectocarpus,10,100
Ec-00_003790.1,Ectocarpus siliculosus,11,100
Ec-00_003800.1,cellular organisms,1,70
Ec-00_003810.1,ALE clade,8,100
Ec-00_003820.1,cellular organisms,1,70
Ec-00_003830.1,ALE clade,8,66
Ec-00_003840.1,Phaeophyceae,7,100
Ec-00_003850.1,Ectocarpus siliculosus,11,100
Ec-00_003860.1,Ectocarpus,10,100
Ec-00_003870.1,ALE clade,8,33
Ec-00_003880.1,ALE clade,8,100
Ec-00_003890.1,ALE clade,8,100
Ec-00_003900.1,Ectocarpus siliculosus,11,100
Ec-00_003910.1,Eukaryota,2,77
Ec-00_003920.1,ALE clade,8,66
Ec-00_003930.2,Ectocarpus siliculosus,11,100
Ec-00_003940.1,Ectocarpus siliculosus,11,100
Ec-00_003950.1,Ectocarpus siliculosus,11,100
Ec-00_003960.4,cellular organisms,1,50
Ec-00_003970.1,Eukaryota,2,55
Ec-00_003990.1,Ectocarpus,10,100
Ec-00_004000.1,Eukaryota,2,55
Ec-00_004010.2,ALE clade,8,66
Ec-00_004020.1,Ectocarpus,10,100
Ec-00_004030.1,ALE clade,8,100
Ec-00_004040.1,Ectocarpus siliculosus,11,100
Ec-00_004050.1,ALE clade,8,100
Ec-00_004060.2,Ectocarpus,10,100
Ec-00_004070.1,Ectocarpus,10,100
Ec-00_004080.1,Ectocarpus,10,100
Ec-00_004090.1,ALE clade,8,100
Ec-00_004100.1,ALE clade,8,100
Ec-00_004110.1,cellular organisms,1,80
Ec-00_004120.1,ALE clade,8,33
Ec-00_004130.1,Ectocarpus siliculosus,11,100
Ec-00_004140.2,Ectocarpus siliculosus,11,100
Ec-00_004150.2,Ectocarpus siliculosus,11,100
Ec-00_004160.1,cellular organisms,1,70
Ec-00_004180.1,ALE clade,8,100
Ec-00_004190.1,Ectocarpales,9,50
Ec-00_004200.1,ALE clade,8,100
Ec-00_004210.2,Phaeophyceae,7,100
Ec-00_004220.1,cellular organisms,1,50
Ec-00_004230.2,ALE clade,8,33
Ec-00_004240.1,Phaeophyceae,7,100
Ec-00_004250.2,Ectocarpus siliculosus,11,100
Ec-00_004260.1,Phaeophyceae,7,100
Ec-00_004270.1,Ectocarpus siliculosus,11,100
Ec-00_004280.1,Phaeophyceae,7,100
Ec-00_004290.1,cellular organisms,1,100
Ec-00_004300.3,cellular organisms,1,90
Ec-00_004310.1,cellular organisms,1,100
Ec-00_004320.1,ALE clade,8,100
Ec-00_004330.1,cellular organisms,1,80
Ec-00_004350.3,cellular organisms,1,100
Ec-00_004360.1,Ectocarpus,10,100
Ec-00_004370.1,Ectocarpus,10,100
Ec-00_004380.1,Ectocarpus siliculosus,11,100
Ec-00_004400.1,Ectocarpus siliculosus,11,100
Ec-00_004410.1,Ectocarpus,10,100
Ec-00_004420.1,Phaeophyceae,7,100
Ec-00_004430.1,Phaeophyceae,7,100
Ec-00_004440.1,ALE clade,8,100
Ec-00_004450.1,ALE clade,8,100
Ec-00_004460.2,Stramenopiles,4,57
Ec-00_004470.1,ALE clade,8,100
Ec-00_004480.1,ALE clade,8,100
Ec-00_004490.1,cellular organisms,1,80
Ec-00_004500.1,Phaeophyceae,7,100
Ec-00_004510.1,cellular organisms,1,100
Ec-00_004520.1,PX clade,6,100
Ec-00_004530.1,Ectocarpus siliculosus,11,100
Ec-00_004540.1,PX clade,6,100
Ec-00_004550.1,cellular organisms,1,100
Ec-00_004560.1,Sar,3,75
Ec-00_004570.1,cellular organisms,1,100
Ec-00_004580.1,Ectocarpus siliculosus,11,100
Ec-00_004590.1,Phaeophyceae,7,75
Ec-00_004600.1,ALE clade,8,66
Ec-00_004610.1,Phaeophyceae,7,100
Ec-00_004620.1,cellular organisms,1,90
Ec-00_004630.1,cellular organisms,1,90
Ec-00_004640.1,Phaeophyceae,7,100
Ec-00_004650.1,Eukaryota,2,66
Ec-00_004670.1,Phaeophyceae,7,100
Ec-00_004680.1,Ectocarpus siliculosus,11,100
Ec-00_004690.2,cellular organisms,1,50
Ec-00_004700.2,Ectocarpus siliculosus,11,100
Ec-00_004720.1,Ectocarpus siliculosus,11,100
Ec-00_004740.1,cellular organisms,1,70
Ec-00_004750.2,Ectocarpus siliculosus,11,100
Ec-00_004760.1,ALE clade,8,100
Ec-00_004770.1,Ectocarpus siliculosus,11,100
Ec-00_004780.1,Ectocarpus siliculosus,11,100
Ec-00_004790.1,Ectocarpus siliculosus,11,100
Ec-00_004800.2,Ectocarpus siliculosus,11,100
Ec-00_004810.1,cellular organisms,1,80
Ec-00_004820.1,Ectocarpus siliculosus,11,100
Ec-00_004830.2,Ectocarpus siliculosus,11,100
Ec-00_004840.1,ALE clade,8,100
Ec-00_004850.1,Ectocarpus siliculosus,11,100
Ec-00_004860.1,Phaeophyceae,7,100
Ec-00_004870.1,Ectocarpus siliculosus,11,100
Ec-00_004880.2,Phaeophyceae,7,100
Ec-00_004890.1,Sar,3,50
Ec-00_004900.1,Eukaryota,2,55
Ec-00_004910.1,Ectocarpus,10,100
Ec-00_004920.1,ALE clade,8,100
Ec-00_004940.3,Ectocarpus siliculosus,11,100
Ec-00_004950.1,ALE clade,8,100
Ec-00_004960.1,Ectocarpus siliculosus,11,100
Ec-00_004970.1,Ectocarpales,9,100
Ec-00_004980.1,Ectocarpus,10,100
Ec-00_005000.1,Eukaryota,2,66
Ec-00_005010.1,Ectocarpus,10,100
Ec-00_005020.1,Phaeophyceae,7,100
Ec-00_005030.2,Phaeophyceae,7,100
Ec-00_005040.2,Phaeophyceae,7,100
Ec-00_005050.1,Phaeophyceae,7,75
Ec-00_005060.1,cellular organisms,1,90
Ec-00_005090.1,Eukaryota,2,33
Ec-00_005120.1,Ectocarpus siliculosus,11,100
Ec-00_005130.1,ALE clade,8,100
Ec-00_005140.1,Ectocarpus siliculosus,11,100
Ec-00_005150.1,PX clade,6,100
Ec-00_005160.1,Ectocarpus siliculosus,11,100
Ec-00_005170.1,Ectocarpus siliculosus,11,100
Ec-00_005180.1,ALE clade,8,100
Ec-00_005190.2,Ectocarpus siliculosus,11,100
Ec-00_005200.1,Eukaryota,2,88
Ec-00_005210.1,Eukaryota,2,88
Ec-00_005220.1,cellular organisms,1,100
Ec-00_005230.1,cellular organisms,1,100
Ec-00_005240.1,cellular organisms,1,80
Ec-00_005250.1,Eukaryota,2,77
Ec-00_005260.1,ALE clade,8,100
Ec-00_005270.1,Ectocarpus siliculosus,11,100
Ec-00_005280.1,Phaeophyceae,7,100
Ec-00_005290.1,Ectocarpus siliculosus,11,100
Ec-00_005310.1,Eukaryota,2,55
Ec-00_005320.1,Ectocarpus siliculosus,11,100
Ec-00_005330.1,Ectocarpus siliculosus,11,100
Ec-00_005370.1,ALE clade,8,66
Ec-00_005380.1,Ectocarpus siliculosus,11,100
Ec-00_005390.1,Ochrophyta,5,83
Ec-00_005400.1,Eukaryota,2,55
Ec-00_005410.1,cellular organisms,1,100
Ec-00_005420.1,cellular organisms,1,100
Ec-00_005430.1,Eukaryota,2,100
Ec-00_005440.1,cellular organisms,1,100
Ec-00_005450.4,cellular organisms,1,100
Ec-00_005460.1,cellular organisms,1,90
Ec-00_005470.1,cellular organisms,1,100
Ec-00_005480.2,Phaeophyceae,7,100
Ec-00_005490.1,Ectocarpus,10,100
Ec-00_005500.1,Ectocarpus siliculosus,11,100
Ec-00_005510.1,cellular organisms,1,60
Ec-00_005520.1,PX clade,6,100
Ec-00_005530.2,Ectocarpus,10,100
Ec-00_005540.1,cellular organisms,1,100
Ec-00_005550.1,Eukaryota,2,66
Ec-00_005560.1,cellular organisms,1,100
Ec-00_005570.1,cellular organisms,1,90
Ec-00_005580.1,cellular organisms,1,100
Ec-00_005590.1,cellular organisms,1,100
Ec-00_005610.1,Eukaryota,2,77
Ec-00_005620.1,Phaeophyceae,7,75
Ec-00_005630.1,PX clade,6,100
Ec-00_005640.1,cellular organisms,1,100
Ec-00_005650.1,Ectocarpus,10,100
Ec-00_005660.1,Ectocarpus siliculosus,11,100
Ec-00_005670.1,cellular organisms,1,60
Ec-00_005680.1,cellular organisms,1,100
Ec-00_005690.1,Ectocarpus siliculosus,11,100
Ec-00_005700.1,Ectocarpus siliculosus,11,100
Ec-00_005710.1,Ectocarpus siliculosus,11,100
Ec-00_005720.1,Ectocarpus siliculosus,11,100
Ec-00_005730.1,Ectocarpus siliculosus,11,100
Ec-00_005740.2,Ectocarpus siliculosus,11,100
Ec-00_005750.5,cellular organisms,1,70
Ec-00_005760.1,Phaeophyceae,7,100
Ec-00_005770.1,Phaeophyceae,7,100
Ec-00_005780.1,cellular organisms,1,100
Ec-00_005790.1,Eukaryota,2,100
Ec-00_005800.1,cellular organisms,1,100
Ec-00_005810.3,Ectocarpus,10,100
Ec-00_005820.1,cellular organisms,1,90
Ec-00_005830.2,Ectocarpus siliculosus,11,100
Ec-00_005840.1,Ectocarpus siliculosus,11,100
Ec-00_005850.1,cellular organisms,1,90
Ec-00_005860.1,cellular organisms,1,80
Ec-00_005870.2,Ectocarpus siliculosus,11,100
Ec-00_005880.3,Phaeophyceae,7,100
Ec-00_005890.1,Stramenopiles,4,100
Ec-00_005900.1,cellular organisms,1,90
Ec-00_005910.1,cellular organisms,1,100
Ec-00_005920.1,cellular organisms,1,100
Ec-00_005930.1,cellular organisms,1,90
Ec-00_005940.1,cellular organisms,1,100
Ec-00_005950.2,cellular organisms,1,100
Ec-00_005960.1,cellular organisms,1,90
Ec-00_005970.1,ALE clade,8,100
Ec-00_005980.1,ALE clade,8,100
Ec-00_005990.1,ALE clade,8,66
Ec-00_006000.1,Ectocarpus siliculosus,11,100
Ec-00_006010.1,Ectocarpus siliculosus,11,100
Ec-00_006020.1,Ectocarpus siliculosus,11,100
Ec-00_006030.1,Ectocarpus siliculosus,11,100
Ec-00_006040.1,cellular organisms,1,100
Ec-00_006060.1,ALE clade,8,66
Ec-00_006070.1,cellular organisms,1,60
Ec-00_006080.1,cellular organisms,1,60
Ec-00_006090.1,Ectocarpales,9,100
Ec-00_006100.1,cellular organisms,1,80
Ec-00_006110.1,Possible contamination or HGT,NA,30
Ec-00_006120.1,cellular organisms,1,50
Ec-00_006130.1,Eukaryota,2,33
Ec-00_006140.1,cellular organisms,1,70
Ec-00_006170.1,Ectocarpus siliculosus,11,100
Ec-00_006180.1,cellular organisms,1,70
Ec-00_006190.1,cellular organisms,1,100
Ec-00_006200.1,PX clade,6,60
Ec-00_006240.1,cellular organisms,1,100
Ec-00_006260.1,cellular organisms,1,100
Ec-00_006270.1,cellular organisms,1,90
Ec-00_006280.1,cellular organisms,1,90
Ec-00_006290.1,Ectocarpus siliculosus,11,100
Ec-00_006310.1,Ectocarpus siliculosus,11,100
Ec-00_006320.1,cellular organisms,1,100
Ec-00_006330.1,cellular organisms,1,70
Ec-00_006340.1,Eukaryota,2,88
Ec-00_006350.1,cellular organisms,1,90
Ec-00_006360.2,Ectocarpus siliculosus,11,100
Ec-00_006370.1,cellular organisms,1,50
Ec-00_006380.1,cellular organisms,1,50
Ec-00_006390.1,Phaeophyceae,7,100
Ec-00_006400.1,Phaeophyceae,7,75
Ec-00_006420.1,cellular organisms,1,100
Ec-00_006430.1,Possible contamination or HGT,NA,11
Ec-00_006440.1,ALE clade,8,100
Ec-00_006450.1,Eukaryota,2,66
Ec-00_006460.1,ALE clade,8,100
Ec-00_006470.1,cellular organisms,1,100
Ec-00_006480.2,Ectocarpus,10,100
Ec-00_006490.1,Ectocarpus siliculosus,11,100
Ec-00_006500.2,ALE clade,8,66
Ec-00_006510.1,Ectocarpus siliculosus,11,100
