GeneID,subject_id,dN,dS,dNdS,DS,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw
Ec-00_001240.1,EsuBft591_7a-00001,0,0.05443,0,1,100,101,101,0,0,0,101,100,1,101,101,100,100,1,101,101,6.7e-68,200,509
Ec-00_001280.1,EsuBft591_5a-00001,0.03289,0.07766,0.4235,8,93952,699,744,44,1,1,710,9543,91,833,833,89,89,247,990,990,0,1338,3463
Ec-00_001290.1,EsuBft591_4a-00001,0.03443,0.1122,0.307,6,92408,353,382,29,0,0,368,9634,101,482,482,79,79,1,382,382,0,643,1659
Ec-00_001300.1,EsuBft591_3a-00001,0.04806,0.1256,0.3828,7,87667,917,1046,103,4,26,960,9178,1,1045,1045,100,100,20,1040,1040,0,1577,4084
Ec-00_001310.1,EsuBft591_2a-00001,0.03229,0.1169,0.2762,5,91828,618,673,49,2,6,633,9406,1,668,668,100,100,1,672,672,0,1168,3021
Ec-00_001320.1,EsuBft2094_2a-00001,0.0461,0.1583,0.2912,5,97129,203,209,6,0,0,205,9809,103,311,417,50,50,2,210,222,2.59e-145,416,1070
Ec-00_001360.1,EsuBft379_14a-00001,0.02098,0.1144,0.1835,3,95928,424,442,18,0,0,430,9729,1,442,442,100,100,1,442,442,0,736,1900
Ec-00_001380.1,EsuBft379_11a-00001,0.02939,0.0877,0.3351,6,92361,266,288,17,2,5,273,9479,1,286,305,94,94,1,285,304,5.05e-151,429,1104
Ec-00_001390.1,EsuBft379_10a-00001,0,0.03392,0,1,100,62,62,0,0,0,62,100,1,62,62,100,100,47,108,108,2.38e-38,127,318
Ec-00_001400.1,EsuBft379_9a-00001,0.0303,0.1088,0.2786,5,9375,570,608,38,0,0,582,9572,1,608,608,100,100,1,608,608,0,1121,2899
Ec-00_001410.1,EsuBft379_8a-00001,0.03621,0.1129,0.3209,6,86987,3349,3850,284,21,217,3444,8945,183,4001,4001,95,95,4,3667,3667,0,5865,15216
Ec-00_001420.2,EsuBft379_7a-00001,0.0276,0.0644,0.4286,8,93764,421,449,25,1,3,430,9577,1,446,446,100,100,1,449,449,0,807,2084
Ec-00_001430.1,EsuBft379_6a-00001,0.02006,0.1378,0.1456,2,97125,777,800,20,1,3,782,9775,1,797,924,86,86,1,800,909,0,1504,3895
Ec-00_001440.1,EsuBft379_5a-00001,0.08211,0.2787,0.2946,5,94444,34,36,2,0,0,36,100,43,78,153,24,24,1,36,41,1.8300000000000002e-16,732,178
Ec-00_001460.1,EsuBft379_4a-00001,0.002507,0.1205,0.02081,1,99437,353,355,2,0,0,355,100,1,355,355,100,100,1,355,355,0,732,1889
Ec-00_001490.1,EsuBft1700_4a-00001,0.09757,0.1681,0.5803,10,88213,464,526,57,3,5,476,9049,33,555,555,94,94,44,567,567,0,889,2297
Ec-00_001500.1,EsuBft1700_3a-00001,0.03223,0.1466,0.2197,4,9039,348,385,29,3,8,356,9247,1,385,386,99,99,188,564,569,0,553,1425
Ec-00_001540.1,EsuBft291_5a-00001,0.0675,0.1088,0.6205,10,84293,483,573,70,3,20,504,8796,274,846,918,67,62,45,597,614,0,764,1973
Ec-00_001570.1,EsuBft291_9a-00001,0.02809,0.09319,0.3014,5,86139,435,505,28,6,42,447,8851,1,468,481,97,97,1,500,513,0,765,1975
Ec-00_001580.1,EsuBft291_11a-00001,0.05008,0.129,0.3883,7,92809,968,1043,64,6,11,985,9444,122,1162,1192,87,87,36,1069,1099,0,1703,4411
Ec-00_001590.1,EsuBft291_12a-00001,0.06126,0.1017,0.6022,10,7977,347,435,44,3,44,357,8207,12,404,404,97,97,12,444,444,0,573,1477
Ec-00_001600.1,EsuBft291_13a-00001,0.0399,0.1272,0.3137,6,84422,336,398,48,2,14,344,8643,1,389,389,100,100,1,393,393,9.03e-175,497,1279
Ec-00_001620.1,EsuBft291_15a-00001,0.05269,0.1237,0.4261,8,83214,233,280,30,2,17,242,8643,372,649,649,43,43,15,279,279,1.3000000000000001e-140,413,1061
Ec-00_001640.1,EsuBft291_17a-00001,0.1015,0.3545,0.2864,5,88889,48,54,6,0,0,50,9259,1,54,246,22,22,1,54,65,5.77e-27,103,257
Ec-00_001650.1,EsuBft291_19a-00001,0.3131,0.7747,0.4041,7,57065,105,184,43,1,36,117,6359,189,336,338,44,44,7,190,196,7.280000000000001e-66,211,536
Ec-00_001670.1,EsuBft5765_2a-00001,0.2034,0.5381,0.378,7,77941,106,136,27,1,3,117,8603,108,240,422,32,32,22,157,192,3.4499999999999995e-63,206,524
Ec-00_001700.1,EsuBft291_21a-00001,0.04586,0.1351,0.3396,6,87047,504,579,55,3,20,517,8929,2,579,579,99,99,14,573,573,0,766,1978
Ec-00_001710.1,EsuBft1140_7a-00001,0.07959,0.1831,0.4347,8,96535,195,202,7,0,0,199,9851,67,268,268,75,75,34,235,235,2.26e-137,390,1003
Ec-00_001720.1,EsuBft1140_5a-00001,0.008594,0.1545,0.05562,1,98416,435,442,7,0,0,438,991,1,442,442,100,100,1,442,442,0,890,2300
Ec-00_001730.1,EsuBft1140_4a-00001,0.03617,0.1219,0.2966,5,88728,307,346,28,3,11,311,8988,745,1089,1089,32,32,1,336,336,4.05e-115,364,934
Ec-00_001740.1,EsuBft1952_6a-00001,0.0263,0.08926,0.2947,5,93902,154,164,10,0,0,157,9573,1,164,164,100,100,1,164,164,8.46e-100,288,738
Ec-00_001750.1,EsuBft1952_5a-00001,0.01262,0.1537,0.08208,1,92383,376,407,11,2,20,384,9435,27,413,413,94,94,1,407,407,0,766,1978
Ec-00_001760.1,EsuBft1952_4a-00001,0.03797,0.09692,0.3918,7,90019,469,521,48,2,4,476,9136,1,518,518,100,100,229,748,748,0,875,2262
Ec-00_001860.1,EsuBft1971_4a-00001,0.02952,0.1122,0.2629,5,90327,635,703,40,2,28,657,9346,60,758,758,92,92,1,679,679,0,1199,3101
Ec-00_001890.1,EsuBft1670_2a-00001,0.02922,0.1687,0.1732,3,86667,585,675,42,6,48,598,8859,1,631,631,100,100,1,671,671,0,1077,2784
Ec-00_001930.1,EsuBft1557_7a-00001,0.03673,0.11,0.3339,6,93256,484,519,35,0,0,492,948,1,519,519,100,100,1,519,519,0,797,2058
Ec-00_001940.1,EsuBft1557_6a-00001,0.01456,0.09674,0.1505,2,9702,586,604,16,1,2,595,9851,1,604,604,100,100,1,602,602,0,1173,3034
Ec-00_001950.1,EsuBft1557_5a-00001,0.02891,0.09183,0.3148,6,89235,1774,1988,142,10,72,1814,9125,1,1947,1947,100,100,1,1957,1957,0,2987,7744
Ec-00_001960.1,EsuBft555_2a-00001,0.006615,0.09094,0.07275,1,98716,846,857,11,0,0,850,9918,1,857,860,99,99,1,857,893,0,1735,4493
Ec-00_002000.1,EsuBft555_3a-00001,0.01884,0.09167,0.2056,3,92625,427,461,26,3,8,431,9349,1,460,460,100,100,1,454,454,0,722,1863
Ec-00_002010.1,EsuBft555_6a-00001,0.01647,0.09779,0.1684,3,96404,429,445,16,0,0,433,973,1,445,445,100,100,1,445,445,0,833,2152
Ec-00_002030.1,EsuBft555_12a-00001,0.01486,0.09588,0.155,2,91611,546,596,27,5,23,554,9295,1,585,585,100,100,1,584,584,0,863,2231
Ec-00_002040.1,EsuBft555_13a-00001,0.02096,0.09911,0.2115,4,95759,429,448,19,0,0,439,9799,1,448,448,100,100,1,448,448,0,906,2341
Ec-00_002070.1,EsuBft800_3a-00001,0.02016,0.104,0.1938,3,92615,1530,1652,73,7,49,1550,9383,54,1664,1675,96,96,52,1695,1706,0,2365,6130
Ec-00_002090.1,EsuBft1748_2a-00001,0.02481,0.12,0.2067,3,93317,377,404,17,1,10,384,9505,120,523,537,75,75,6,399,403,0,724,1870
Ec-00_002470.1,EsuBft437_25a-00001,0.1735,0.3099,0.56,9,75839,113,149,14,2,22,117,7852,1,149,192,78,78,1,127,183,8.41e-60,189,480
Ec-00_003265.1,EsuBft183_18a-00001,0.04742,0.07782,0.6093,10,91065,265,291,25,1,1,274,9416,1,290,290,100,100,1,291,291,0,499,1286
Ec-00_003270.1,EsuBft183_17a-00001,0.0707,0.1149,0.6155,10,85848,552,643,83,4,8,567,8818,1,643,643,100,100,1,635,635,0,965,2495
Ec-00_003280.1,EsuBft183_16a-00001,0.03981,0.1528,0.2605,5,85201,403,473,60,3,10,418,8837,1,467,467,100,100,1,469,469,0,589,1519
Ec-00_003290.1,EsuBft183_15a-00001,0.003551,0.07482,0.04747,1,93412,397,425,3,2,25,398,9365,1,400,400,100,100,1,425,425,0,793,2049
Ec-00_003330.1,EsuBft183_10a-00001,0.06392,0.1279,0.4999,9,81104,382,471,49,3,40,395,8386,175,610,610,71,71,1,466,466,0,596,1536
Ec-00_003350.1,EsuBft183_8a-00001,0.03626,0.07024,0.5162,9,91979,172,187,13,2,2,173,9251,1,186,188,99,99,1,186,190,3.85e-120,342,877
Ec-00_003360.1,EsuBft183_7a-00001,0.0152,0.09841,0.1545,2,96145,399,415,13,2,3,406,9783,1,413,413,100,100,1,414,414,0,749,1934
Ec-00_003370.1,EsuBft183_6a-00001,0.03198,0.1144,0.2795,5,94014,267,284,17,0,0,275,9683,1,284,286,99,99,1,284,286,0,508,1307
Ec-00_003380.1,EsuBft183_5a-00001,0.01895,0.1081,0.1753,3,95993,527,549,21,1,1,533,9709,1,549,549,100,100,1,548,548,0,1090,2818
Ec-00_003400.1,EsuBft1273_3a-00001,0.08172,0.215,0.38,7,8216,175,213,33,3,5,182,8545,237,448,448,47,47,44,252,252,8.74e-81,254,650
Ec-00_003410.1,EsuBft1273_5a-00001,0.01759,0.09183,0.1916,3,9645,163,169,6,0,0,166,9822,1,169,169,100,100,1,169,169,1.1999999999999999e-117,332,850
Ec-00_003430.1,EsuBft1273_6a-00001,0.06654,0.1805,0.3687,7,93581,277,296,19,0,0,282,9527,19,314,314,94,94,53,348,348,1.42e-151,433,1113
Ec-00_003460.1,EsuBft584_10a-00001,0.02806,0.04339,0.6467,10,94224,261,277,16,0,0,265,9567,1,277,277,100,100,141,417,417,4.55e-160,456,1172
Ec-00_003480.1,EsuBft584_6a-00001,0.02876,0.1359,0.2117,4,94784,527,556,29,0,0,535,9622,1,556,556,100,100,1,556,556,0,744,1922
Ec-00_003490.1,EsuBft584_5a-00001,0.01488,0.07949,0.1872,3,96705,499,516,15,1,2,502,9729,1,516,516,100,100,1,514,514,0,981,2536
Ec-00_003500.1,EsuBft584_4a-00001,0.02279,0.09558,0.2384,4,95215,796,836,40,0,0,804,9617,1,836,836,100,100,1,836,836,0,1427,3693
Ec-00_003530.1,EsuBft1385_13a-00001,0.02483,0.08871,0.2798,5,93262,526,564,31,2,7,536,9504,1,560,560,100,100,1,561,561,0,889,2296
Ec-00_003560.1,EsuBft1385_11a-00001,0.006667,0.07803,0.08544,1,98607,354,359,5,0,0,356,9916,1,359,359,100,100,93,451,451,0,736,1899
Ec-00_003730.1,EsuBft1703_2a-00001,0.1773,0.2745,0.6457,10,73485,194,264,35,1,35,207,7841,14,277,319,83,83,8,236,267,8.97e-118,344,883
Ec-00_003910.1,EsuBft6252_2a-00001,0.3223,1.271,0.2537,4,54274,127,234,54,4,53,150,641,93,298,298,69,69,86,294,294,1.32e-78,245,625
Ec-00_004280.1,EsuBft626_5a-00001,0.03864,0.095,0.4067,8,91176,341,374,31,1,2,349,9332,1,374,402,93,93,1,372,400,4.09e-176,501,1290
Ec-00_004290.1,EsuBft626_7a-00001,0.01903,0.08381,0.2271,4,95536,428,448,19,1,1,433,9665,1,448,448,100,100,1,447,447,0,862,2227
Ec-00_004310.1,EsuBft626_8a-00001,0.05019,0.09776,0.5134,9,88336,568,643,62,2,13,586,9114,1,638,638,100,100,1,635,635,0,1032,2669
Ec-00_004470.1,EsuBft833_22a-00001,0.167,0.731,0.2285,4,73529,125,170,41,1,4,134,7882,1,170,170,100,100,1,166,166,6.36e-83,246,628
Ec-00_004540.1,EsuBft1613_3a-00001,0.02347,0.08918,0.2632,5,72331,332,459,26,4,101,347,756,184,541,549,65,65,1,459,461,0,585,1507
Ec-00_004560.1,EsuBft1613_5a-00001,0.05794,0.1194,0.4852,9,87651,1015,1158,119,5,24,1046,9033,62,1201,1201,95,95,1,1152,1152,0,1761,4561
Ec-00_004570.1,EsuBft1613_6a-00001,0.01999,0.07885,0.2535,4,96188,328,341,13,0,0,333,9765,1,341,341,100,100,1,341,341,0,670,1729
Ec-00_004620.1,EsuBft186_6a-00001,0.0306,0.08317,0.3679,7,92217,391,424,30,2,3,402,9481,1,424,424,100,100,1,421,421,0,602,1552
Ec-00_004640.1,EsuBft186_7a-00001,0.04091,0.1041,0.393,7,8721,866,993,102,7,25,897,9033,57,1034,1034,95,95,1,983,983,0,1524,3945
Ec-00_004670.1,EsuBft186_9a-00001,0.05468,0.09804,0.5578,9,85276,973,1141,108,5,60,1004,8799,36,1130,1809,84,61,244,1370,2207,0,1789,4634
Ec-00_005000.1,EsuBft833_9a-00001,0.05553,0.1121,0.4956,9,94425,271,287,15,1,1,276,9617,36,321,347,82,82,36,322,407,0,563,1451
Ec-00_005150.1,EsuBft827_2a-00001,0.04776,0.09537,0.5008,9,9705,329,339,10,0,0,331,9764,23,361,361,94,94,15,353,353,0,671,1732
Ec-00_005200.1,EsuBft40_31a-00001,0.03092,0.2355,0.1313,2,97857,137,140,3,0,0,138,9857,1070,1209,1209,12,12,20,159,159,5.13e-88,286,731
Ec-00_005210.1,EsuBft40_30a-00001,0.04266,0.08871,0.4809,9,90341,1085,1201,102,6,14,1115,9284,1,1200,1205,99,99,1,1188,1192,0,1795,4650
Ec-00_005230.1,EsuBft40_28a-00001,0.02922,0.08591,0.3401,6,94006,298,317,19,0,0,304,959,1,317,317,100,100,1,317,317,0,605,1559
Ec-00_005410.1,EsuBft550_17a-00001,0.02058,0.118,0.1744,3,9426,312,331,17,1,2,322,9728,24,352,352,93,93,1,331,331,0,655,1691
Ec-00_005430.1,EsuBft550_15a-00001,0.009257,0.1173,0.07892,1,96753,149,154,3,2,2,149,9675,11,164,164,94,94,1,152,152,3.7700000000000005e-84,248,634
Ec-00_005440.1,EsuBft116_23a-00001,0.008682,0.2957,0.02936,1,100,137,137,0,0,0,137,100,1,137,137,100,100,1,137,137,9.46e-95,273,699
Ec-00_005450.4,EsuBft550_9a-00001,0.02647,0.1159,0.2284,4,95052,461,485,24,0,0,472,9732,1,485,577,84,84,17,501,502,0,880,2273
Ec-00_005460.1,EsuBft347_23a-00001,0,0.1244,0,1,100,117,117,0,0,0,117,100,1,117,117,100,100,1,117,117,3.7e-81,235,599
Ec-00_005470.1,EsuBft347_22a-00001,0.003519,0.08573,0.04105,1,99187,122,123,1,0,0,122,9919,1,123,123,100,100,1,123,123,3.68e-81,238,607
Ec-00_005550.1,EsuBft1394_5a-00001,0.05604,0.1143,0.4901,9,79722,287,360,49,6,24,294,8167,1,353,353,100,100,1,343,343,2.13e-119,353,905
Ec-00_005560.1,EsuBft1394_4a-00001,0.0167,0.09129,0.1829,3,80,96,120,2,2,22,96,80,53,150,150,65,65,1,120,120,4.9099999999999995e-55,173,438
Ec-00_005570.1,EsuBft1993_4a-00001,0.02388,0.05946,0.4016,7,94468,222,235,12,1,1,227,966,1,234,234,100,100,1,235,235,4.01e-150,421,1083
Ec-00_005580.1,EsuBft1993_3a-00001,0.01102,0.09181,0.12,2,97476,618,634,14,1,2,625,9858,1,632,632,100,100,1,634,634,0,1241,3211
Ec-00_005590.1,EsuBft1993_2a-00001,0.04146,0.1195,0.3469,6,92363,387,419,11,2,21,391,9332,1,401,433,93,93,1,416,432,0,793,2048
Ec-00_005640.1,EsuBft1662_7a-00001,0.05041,0.09667,0.5215,9,8577,440,513,49,1,24,461,8986,1,489,532,92,92,1,513,538,0,842,2176
Ec-00_005650.1,EsuBft1662_6a-00001,0.1334,0.1331,1.003,10,84706,72,85,13,0,0,73,8588,1,85,130,65,65,1,85,173,4.37e-14,697,169
Ec-00_005780.1,EsuBft1476_8a-00001,0.0144,0.07802,0.1846,3,96825,244,252,8,0,0,246,9762,1,252,252,100,100,1,252,252,8.63e-175,485,1249
Ec-00_005790.1,EsuBft1476_7a-00001,0.0201,0.1684,0.1194,2,91885,385,419,22,2,12,389,9284,1,419,419,100,100,1,407,407,0,747,1928
Ec-00_005850.1,EsuBft2519_3a-00001,0.05567,0.1152,0.4832,9,82135,354,431,33,1,44,374,8677,138,524,553,70,70,6,436,448,0,690,1780
Ec-00_005900.1,EsuBft42_11a-00001,0.01456,0.06751,0.2157,4,96782,421,435,14,0,0,428,9839,1,435,435,100,100,1,435,435,0,866,2238
Ec-00_005920.1,EsuBft42_9a-00001,0.01545,0.08904,0.1735,3,96332,604,627,21,1,2,614,9793,1,627,627,100,100,1,625,625,0,1226,3172
Ec-00_005930.1,EsuBft42_8a-00001,0.02231,0.07692,0.29,5,89722,323,360,25,1,12,331,9194,1,360,360,100,100,1,348,348,0,505,1300
Ec-00_005940.1,EsuBft42_7a-00001,0.01614,0.08742,0.1846,3,9631,261,271,10,0,0,267,9852,1,271,271,100,100,1,271,271,0,529,1362
Ec-00_005950.2,EsuBft42_6a-00001,0.03046,0.09861,0.3089,6,93955,1119,1191,60,9,12,1140,9572,1,1186,1738,100,68,1,1184,1837,0,1788,4632
Ec-00_005960.1,EsuBft42_5a-00001,0.02898,0.08289,0.3496,6,81008,209,258,31,4,18,216,8372,521,778,778,71,33,146,385,385,6.03e-123,378,971
Ec-00_005970.1,EsuBft1622_4a-00001,0.06162,0.1409,0.4374,8,90222,406,450,41,1,3,417,9267,744,1190,1380,32,32,1,450,472,0,759,1960
Ec-00_006040.1,EsuBft314_4a-00001,0.416,0.8425,0.4937,9,87645,227,259,5,1,27,230,888,92,323,550,56,42,125,383,637,2.51e-159,473,1217
Ec-00_006420.1,EsuBft2372_3a-00001,0.02429,0.1384,0.1755,3,92159,858,931,69,2,4,871,9356,1,931,931,100,100,1,927,927,0,1543,3995
Ec-00_006460.1,EsuBft1671_7a-00001,0.07907,0.1119,0.7065,10,86609,401,463,62,0,0,427,9222,14,476,476,97,97,105,567,567,0,808,2088
Ec-00_006470.1,EsuBft508_3a-00001,0.03179,0.1582,0.2009,3,93159,640,687,19,3,28,647,9418,1,684,757,90,90,1,662,688,0,1257,3253
Ec-00_006520.1,EsuBft235_27a-00001,0.04253,0.1049,0.4053,8,83118,1093,1315,162,16,60,1119,851,161,1449,1449,98,89,2287,3567,3567,0,1423,3684
Ec-00_006530.1,EsuBft235_28a-00001,0.04249,0.1296,0.3279,6,92632,440,475,31,2,4,454,9558,1,475,522,91,91,10,480,527,0,830,2145
Ec-00_006540.1,EsuBft235_29a-00001,0.00654,0.1046,0.06254,1,98529,134,136,2,0,0,135,9926,1,136,136,100,100,1,136,136,5.87e-98,281,720
Ec-00_006550.1,EsuBft235_30a-00001,0.01373,0.05299,0.2591,5,95364,288,302,10,1,4,292,9669,1,302,302,100,100,1,298,298,0,585,1508
Ec-00_006560.1,EsuBft235_31a-00001,0.02805,0.105,0.2673,5,91129,565,620,43,5,12,573,9242,1,613,1049,58,58,1,615,617,0,1012,2617
Ec-00_006570.1,EsuBft51_34a-00001,0.07342,0.233,0.3151,6,87795,223,254,30,1,1,238,937,1,253,253,100,100,1,254,254,1.08e-157,442,1137
Ec-00_006580.1,EsuBft51_35a-00001,0.03405,0.08109,0.4199,8,91286,220,241,19,2,2,224,9295,1,239,240,99,99,1,241,287,3.82e-139,396,1017
Ec-00_006610.1,EsuBft963_7a-00001,0.04516,0.104,0.4344,8,87723,836,953,93,6,24,857,8993,776,1717,1717,55,55,770,1709,1709,0,1333,3449
Ec-00_006620.1,EsuBft963_6a-00001,0.01263,0.1319,0.09579,1,95987,1794,1869,48,8,27,1815,9711,122,1973,1973,94,94,8,1866,1866,0,3635,9426
Ec-00_006700.2,EsuBft977_5a-00001,0.07318,0.1629,0.4492,8,65341,345,528,65,6,118,367,6951,1,528,528,100,100,1,410,410,0,610,1572
Ec-00_006770.1,EsuBft330_7a-00001,0.08181,0.193,0.4238,8,81168,556,685,68,7,61,577,8423,45,699,701,93,93,12,665,667,0,1050,2716
Ec-00_006790.1,EsuBft330_5a-00001,0.0171,0.1079,0.1584,3,96218,458,476,18,0,0,467,9811,67,542,542,88,88,1,476,476,0,935,2416
Ec-00_006800.1,EsuBft330_4a-00001,0.05175,0.099,0.5227,9,8522,542,636,75,5,19,558,8774,33,655,655,95,95,1,630,630,0,920,2379
Ec-00_006810.1,EsuBft330_3a-00001,0.009607,0.09134,0.1052,2,98451,445,452,7,0,0,449,9934,1,452,553,82,82,1,452,459,0,924,2389
Ec-00_006870.1,EsuBft739_7a-00001,0.03187,0.1406,0.2267,4,87957,745,847,50,6,52,757,8937,1,841,945,89,89,1,801,808,0,1347,3486
Ec-00_006940.1,EsuBft343_4a-00001,0.06555,0.09867,0.6644,10,87619,92,105,13,0,0,96,9143,1,105,112,94,94,1,105,107,1.75e-53,167,423
Ec-00_006950.1,EsuBft343_3a-00001,0.02001,0.09099,0.22,4,95722,895,935,34,2,6,907,9701,11,943,943,99,99,88,1018,1018,0,1652,4279
Ec-00_006960.1,EsuBft797_9a-00001,0.01971,0.106,0.186,3,95927,471,491,20,0,0,479,9756,2,492,492,99,99,4,494,494,0,946,2446
Ec-00_007000.1,EsuBft908_6a-00001,0.02957,0.1076,0.2749,5,9046,531,587,48,5,8,544,9267,35,620,620,95,95,1,580,580,0,879,2272
Ec-00_007030.1,EsuBft578_3a-00001,0.06713,0.232,0.2894,5,90058,154,171,16,1,1,159,9298,241,411,411,42,42,22,191,191,8.78e-95,286,733
Ec-00_007110.1,EsuBft1919_5a-00001,0.2303,0.6696,0.3439,6,67015,321,479,101,5,57,340,7098,48,472,619,69,69,64,539,540,1.54e-103,328,842
Ec-00_007250.1,EsuBft1565_4a-00001,0.09963,0.2052,0.4856,9,74274,179,241,41,1,21,194,805,12,231,231,95,95,3,243,243,2.0200000000000002e-128,367,941
Ec-00_007310.1,EsuBft1982_6a-00001,0.0318,0.09322,0.3411,6,93388,565,605,39,1,1,583,9636,26,630,630,96,96,1,604,604,0,1085,2805
Ec-00_007320.1,EsuBft1982_5a-00001,0.01591,0.1376,0.1156,2,94714,215,227,7,1,5,215,9471,1,227,227,100,100,1,222,222,1.1800000000000001e-150,422,1085
Ec-00_007330.1,EsuBft1982_4a-00001,0,0.01644,0,1,100,124,124,0,0,0,124,100,1,124,124,100,100,1,124,124,6.57e-89,258,658
Ec-00_007340.1,EsuBft1982_3a-00001,0.008,0.04699,0.1702,3,98295,173,176,3,0,0,174,9886,1,176,176,100,100,1,176,176,4.67e-127,358,919
Ec-00_007350.1,EsuBft1982_2a-00001,0.0171,0.1263,0.1354,2,96875,279,288,9,0,0,281,9757,1,288,288,100,100,138,425,425,0,568,1463
Ec-00_007370.1,EsuBft500_7a-00001,0.07442,0.1413,0.5265,9,76323,548,718,100,7,70,595,8287,5,656,656,99,99,15,728,728,0,991,2562
Ec-00_007480.1,EsuBft246_2a-00001,0.02214,0.05524,0.4009,7,95054,442,465,23,0,0,450,9677,124,588,588,79,79,1,465,465,0,908,2347
Ec-00_007590.1,EsuBft1242_3a-00001,0.01667,0.135,0.1235,2,9906,527,532,5,0,0,531,9981,1,532,709,90,75,1,532,1367,0,980,2533
Ec-00_007710.1,EsuBft740_9a-00001,0.00623,0.1292,0.04821,1,98621,143,145,2,0,0,143,9862,1,145,145,100,100,520,664,664,1.07e-98,301,772
Ec-00_007720.1,EsuBft740_10a-00001,0.008027,0.06438,0.1247,2,98344,297,302,5,0,0,298,9868,1,302,302,100,100,1,302,302,0,603,1554
Ec-00_007740.1,EsuBft740_12a-00001,0.02278,0.09408,0.2421,4,89545,788,880,38,5,54,800,9091,1,836,836,100,100,1,870,870,0,1412,3655
Ec-00_007750.1,EsuBft1374_5a-00001,0.02858,0.09975,0.2865,5,94118,400,425,25,0,0,409,9624,1,425,425,100,100,62,486,486,0,790,2039
Ec-00_007780.1,EsuBft2407_5a-00001,0.09754,0.3817,0.2555,4,84232,406,482,55,2,21,425,8817,65,543,1127,43,43,17,480,485,0,826,2134
Ec-00_007800.1,EsuBft771_2a-00001,0.1016,0.2706,0.3755,7,68567,493,719,104,9,122,513,7135,33,676,676,95,95,1,672,672,0,885,2288
