Orthogroup	Fd_tasm	Fs_tasm	Laminaria-digitata_MALE_proteins	Saccorhiza-polyschides_MALE_proteins
OG0036116	dis_TRINITY_DN1039_c0_g1.p4			
OG0036117	dis_TRINITY_DN103_c0_g1.p1			
OG0036118	dis_TRINITY_DN103_c0_g1.p2			
OG0036119	dis_TRINITY_DN10400_c0_g1.p2			
OG0036120	dis_TRINITY_DN10403_c0_g1.p2			
OG0036121	dis_TRINITY_DN10403_c0_g3.p2			
OG0036122	dis_TRINITY_DN1040_c0_g4.p1			
OG0036123	dis_TRINITY_DN1040_c0_g4.p2			
OG0036124	dis_TRINITY_DN104107_c0_g1.p1			
OG0036125	dis_TRINITY_DN10415_c0_g1.p2			
OG0036126	dis_TRINITY_DN10415_c0_g1.p3			
OG0036127	dis_TRINITY_DN10415_c0_g1.p6			
OG0036128	dis_TRINITY_DN10415_c0_g1.p7			
OG0036129	dis_TRINITY_DN10415_c0_g1.p8			
OG0036130	dis_TRINITY_DN10418_c0_g1.p2			
OG0036131	dis_TRINITY_DN10435_c0_g1.p2			
OG0036132	dis_TRINITY_DN10435_c0_g1.p3			
OG0036133	dis_TRINITY_DN10438_c0_g1.p2			
OG0036134	dis_TRINITY_DN10440_c0_g1.p2			
OG0036135	dis_TRINITY_DN10442_c0_g1.p2			
OG0036136	dis_TRINITY_DN10446_c0_g1.p2			
OG0036137	dis_TRINITY_DN10446_c0_g2.p3			
OG0036138	dis_TRINITY_DN10446_c0_g2.p4			
OG0036139	dis_TRINITY_DN1044_c0_g1.p2			
OG0036140	dis_TRINITY_DN10450_c0_g1.p1			
OG0036141	dis_TRINITY_DN10450_c0_g2.p3			
OG0036142	dis_TRINITY_DN10451_c0_g1.p3			
OG0036143	dis_TRINITY_DN10457_c0_g1.p2			
OG0036144	dis_TRINITY_DN10457_c0_g1.p3			
OG0036145	dis_TRINITY_DN1045_c0_g1.p2			
OG0036146	dis_TRINITY_DN104626_c0_g1.p1			
OG0036147	dis_TRINITY_DN10462_c0_g1.p3			
OG0036148	dis_TRINITY_DN10462_c0_g1.p4			
OG0036149	dis_TRINITY_DN10464_c0_g2.p2			
OG0036150	dis_TRINITY_DN10470_c1_g1.p1			
OG0036151	dis_TRINITY_DN10471_c0_g2.p2			
OG0036152	dis_TRINITY_DN10472_c0_g1.p2			
OG0036153	dis_TRINITY_DN10472_c0_g1.p3			
OG0036154	dis_TRINITY_DN10472_c0_g5.p1			
OG0036155	dis_TRINITY_DN10477_c0_g2.p2			
OG0036156	dis_TRINITY_DN1047_c0_g1.p3			
OG0036157	dis_TRINITY_DN10484_c0_g1.p2			
OG0036158	dis_TRINITY_DN10484_c0_g1.p3			
OG0036159	dis_TRINITY_DN10484_c0_g1.p5			
OG0036160	dis_TRINITY_DN10491_c2_g1.p1			
OG0036161	dis_TRINITY_DN10491_c2_g1.p2			
OG0036162	dis_TRINITY_DN10491_c2_g1.p3			
OG0036163	dis_TRINITY_DN104_c0_g1.p2			
OG0036164	dis_TRINITY_DN104_c0_g1.p3			
OG0036165	dis_TRINITY_DN104_c0_g2.p4			
OG0036166	dis_TRINITY_DN10504_c0_g2.p2			
OG0036167	dis_TRINITY_DN10508_c0_g1.p3			
OG0036168	dis_TRINITY_DN10509_c2_g1.p1			
OG0036169	dis_TRINITY_DN105104_c0_g1.p2			
OG0036170	dis_TRINITY_DN10516_c0_g3.p1			
OG0036171	dis_TRINITY_DN10516_c0_g3.p2			
OG0036172	dis_TRINITY_DN10516_c0_g3.p3			
OG0036173	dis_TRINITY_DN10521_c0_g1.p1			
OG0036174	dis_TRINITY_DN10522_c0_g1.p2			
OG0036175	dis_TRINITY_DN10522_c0_g1.p3			
OG0036176	dis_TRINITY_DN10537_c0_g1.p2			
OG0036177	dis_TRINITY_DN10540_c0_g2.p1			
OG0036178	dis_TRINITY_DN10548_c0_g2.p1			
OG0036179	dis_TRINITY_DN1054_c0_g1.p2			
OG0036180	dis_TRINITY_DN10555_c0_g1.p3			
OG0036181	dis_TRINITY_DN1055_c0_g1.p3			
OG0036182	dis_TRINITY_DN10579_c0_g1.p1			
OG0036183	dis_TRINITY_DN1057_c0_g1.p4			
OG0036184	dis_TRINITY_DN105971_c0_g1.p2			
OG0036185	dis_TRINITY_DN10602_c0_g2.p2			
OG0036186	dis_TRINITY_DN10606_c0_g1.p2			
OG0036187	dis_TRINITY_DN10606_c0_g2.p2			
OG0036188	dis_TRINITY_DN10606_c0_g2.p3			
OG0036189	dis_TRINITY_DN10607_c0_g1.p2			
OG0036190	dis_TRINITY_DN10607_c0_g1.p3			
OG0036191	dis_TRINITY_DN10617_c0_g3.p1			
OG0036192	dis_TRINITY_DN10624_c0_g2.p1			
OG0036193	dis_TRINITY_DN10627_c0_g1.p1			
OG0036194	dis_TRINITY_DN1062_c0_g2.p2			
OG0036195	dis_TRINITY_DN10643_c0_g1.p4			
OG0036196	dis_TRINITY_DN10647_c0_g1.p4			
OG0036197	dis_TRINITY_DN10647_c0_g1.p6			
OG0036198	dis_TRINITY_DN10647_c0_g1.p8			
OG0036199	dis_TRINITY_DN1066_c0_g2.p2			
OG0036200	dis_TRINITY_DN106808_c0_g1.p2			
OG0036201	dis_TRINITY_DN10680_c0_g1.p2			
OG0036202	dis_TRINITY_DN10687_c1_g3.p3			
OG0036203	dis_TRINITY_DN10698_c0_g3.p2			
OG0036204	dis_TRINITY_DN10698_c2_g1.p1			
OG0036205	dis_TRINITY_DN10699_c0_g1.p3			
OG0036206	dis_TRINITY_DN106_c0_g2.p2			
OG0036207	dis_TRINITY_DN106_c0_g2.p3			
OG0036208	dis_TRINITY_DN106_c0_g3.p4			
OG0036209	dis_TRINITY_DN10701_c0_g1.p2			
OG0036210	dis_TRINITY_DN10701_c0_g1.p3			
OG0036211	dis_TRINITY_DN1070_c0_g8.p4			
OG0036212	dis_TRINITY_DN10711_c0_g1.p2			
OG0036213	dis_TRINITY_DN10717_c0_g2.p1			
OG0036214	dis_TRINITY_DN10718_c0_g1.p2			
OG0036215	dis_TRINITY_DN10729_c0_g1.p1			
OG0036216	dis_TRINITY_DN10729_c0_g1.p2			
OG0036217	dis_TRINITY_DN10729_c0_g1.p3			
OG0036218	dis_TRINITY_DN10729_c0_g1.p4			
OG0036219	dis_TRINITY_DN1072_c0_g1.p1			
OG0036220	dis_TRINITY_DN1073_c0_g3.p10			
OG0036221	dis_TRINITY_DN10746_c0_g1.p3			
OG0036222	dis_TRINITY_DN10746_c0_g2.p3			
OG0036223	dis_TRINITY_DN10746_c0_g2.p6			
OG0036224	dis_TRINITY_DN10746_c1_g1.p2			
OG0036225	dis_TRINITY_DN10752_c1_g1.p2			
OG0036226	dis_TRINITY_DN10759_c0_g1.p2			
OG0036227	dis_TRINITY_DN10760_c0_g4.p1			
OG0036228	dis_TRINITY_DN10760_c0_g4.p2			
OG0036229	dis_TRINITY_DN10781_c0_g1.p1			
OG0036230	dis_TRINITY_DN10781_c0_g1.p2			
OG0036231	dis_TRINITY_DN10797_c0_g1.p3			
OG0036232	dis_TRINITY_DN10797_c0_g1.p5			
OG0036233	dis_TRINITY_DN10797_c0_g1.p7			
OG0036234	dis_TRINITY_DN10797_c0_g1.p8			
OG0036235	dis_TRINITY_DN10797_c0_g1.p9			
OG0036236	dis_TRINITY_DN10799_c0_g3.p1			
OG0036237	dis_TRINITY_DN10808_c1_g1.p2			
OG0036238	dis_TRINITY_DN10809_c0_g1.p2			
OG0036239	dis_TRINITY_DN10809_c0_g1.p3			
OG0036240	dis_TRINITY_DN10809_c0_g1.p4			
OG0036241	dis_TRINITY_DN10809_c0_g1.p5			
OG0036242	dis_TRINITY_DN10809_c0_g1.p6			
OG0036243	dis_TRINITY_DN1080_c1_g1.p2			
OG0036244	dis_TRINITY_DN10812_c0_g2.p2			
OG0036245	dis_TRINITY_DN1081_c2_g2.p3			
OG0036246	dis_TRINITY_DN1081_c4_g2.p4			
OG0036247	dis_TRINITY_DN1081_c6_g1.p1			
OG0036248	dis_TRINITY_DN10826_c0_g1.p2			
OG0036249	dis_TRINITY_DN10827_c0_g1.p5			
OG0036250	dis_TRINITY_DN10829_c0_g1.p2			
OG0036251	dis_TRINITY_DN1082_c1_g3.p4			
OG0036252	dis_TRINITY_DN10831_c0_g1.p2			
OG0036253	dis_TRINITY_DN10832_c0_g1.p2			
OG0036254	dis_TRINITY_DN10832_c1_g1.p1			
OG0036255	dis_TRINITY_DN10832_c1_g1.p2			
OG0036256	dis_TRINITY_DN10832_c1_g1.p3			
OG0036257	dis_TRINITY_DN10834_c0_g1.p3			
OG0036258	dis_TRINITY_DN10835_c0_g2.p1			
OG0036259	dis_TRINITY_DN10835_c0_g2.p2			
OG0036260	dis_TRINITY_DN10838_c0_g1.p2			
OG0036261	dis_TRINITY_DN10838_c0_g1.p3			
OG0036262	dis_TRINITY_DN10840_c0_g1.p2			
OG0036263	dis_TRINITY_DN10841_c0_g1.p4			
OG0036264	dis_TRINITY_DN10843_c0_g1.p2			
OG0036265	dis_TRINITY_DN10843_c0_g1.p3			
OG0036266	dis_TRINITY_DN10843_c0_g1.p4			
OG0036267	dis_TRINITY_DN1084_c0_g1.p3			
OG0036268	dis_TRINITY_DN10851_c0_g1.p2			
OG0036269	dis_TRINITY_DN10854_c0_g1.p4			
OG0036270	dis_TRINITY_DN10854_c0_g1.p5			
OG0036271	dis_TRINITY_DN10859_c0_g1.p2			
OG0036272	dis_TRINITY_DN10860_c0_g1.p1			
OG0036273	dis_TRINITY_DN10868_c0_g1.p2			
OG0036274	dis_TRINITY_DN10868_c0_g1.p3			
OG0036275	dis_TRINITY_DN10870_c0_g1.p3			
OG0036276	dis_TRINITY_DN10875_c0_g1.p3			
OG0036277	dis_TRINITY_DN10884_c0_g1.p2			
OG0036278	dis_TRINITY_DN108888_c0_g1.p2			
OG0036279	dis_TRINITY_DN108888_c0_g1.p5			
OG0036280	dis_TRINITY_DN108926_c0_g1.p2			
OG0036281	dis_TRINITY_DN10897_c0_g1.p2			
OG0036282	dis_TRINITY_DN108991_c0_g1.p1			
OG0036283	dis_TRINITY_DN108996_c0_g1.p1			
OG0036284	dis_TRINITY_DN10901_c1_g2.p1			
OG0036285	dis_TRINITY_DN10901_c1_g6.p1			
OG0036286	dis_TRINITY_DN10905_c0_g1.p2			
OG0036287	dis_TRINITY_DN10905_c0_g1.p3			
OG0036288	dis_TRINITY_DN109071_c0_g1.p1			
OG0036289	dis_TRINITY_DN109071_c0_g1.p2			
OG0036290	dis_TRINITY_DN109087_c0_g1.p1			
OG0036291	dis_TRINITY_DN109092_c0_g1.p1			
OG0036292	dis_TRINITY_DN109092_c0_g1.p2			
OG0036293	dis_TRINITY_DN109092_c0_g1.p3			
OG0036294	dis_TRINITY_DN1090_c0_g4.p3			
OG0036295	dis_TRINITY_DN109108_c0_g1.p2			
OG0036296	dis_TRINITY_DN109128_c0_g1.p1			
OG0036297	dis_TRINITY_DN10913_c0_g1.p3			
OG0036298	dis_TRINITY_DN10913_c0_g1.p4			
OG0036299	dis_TRINITY_DN109151_c0_g1.p3			
OG0036300	dis_TRINITY_DN109163_c0_g1.p2			
OG0036301	dis_TRINITY_DN10921_c0_g1.p2			
OG0036302	dis_TRINITY_DN109261_c0_g1.p2			
OG0036303	dis_TRINITY_DN10933_c0_g2.p2			
OG0036304	dis_TRINITY_DN109367_c0_g1.p2			
OG0036305	dis_TRINITY_DN10936_c0_g1.p2			
OG0036306	dis_TRINITY_DN109429_c0_g1.p1			
OG0036307	dis_TRINITY_DN109430_c0_g1.p2			
OG0036308	dis_TRINITY_DN109431_c0_g1.p2			
OG0036309	dis_TRINITY_DN109431_c0_g1.p5			
OG0036310	dis_TRINITY_DN10948_c0_g1.p1			
OG0036311	dis_TRINITY_DN10955_c0_g1.p3			
OG0036312	dis_TRINITY_DN10957_c0_g1.p1			
OG0036313	dis_TRINITY_DN10957_c0_g1.p2			
OG0036314	dis_TRINITY_DN10958_c0_g1.p1			
OG0036315	dis_TRINITY_DN109603_c0_g1.p1			
OG0036316	dis_TRINITY_DN109659_c0_g1.p3			
OG0036317	dis_TRINITY_DN109695_c0_g1.p1			
OG0036318	dis_TRINITY_DN109736_c0_g1.p1			
OG0036319	dis_TRINITY_DN109736_c0_g1.p2			
OG0036320	dis_TRINITY_DN10974_c0_g1.p3			
OG0036321	dis_TRINITY_DN10974_c0_g1.p5			
OG0036322	dis_TRINITY_DN10975_c0_g1.p1			
OG0036323	dis_TRINITY_DN10976_c0_g1.p4			
OG0036324	dis_TRINITY_DN109811_c0_g1.p2			
OG0036325	dis_TRINITY_DN1098_c0_g1.p4			
OG0036326	dis_TRINITY_DN109911_c0_g1.p2			
OG0036327	dis_TRINITY_DN109913_c0_g1.p2			
OG0036328	dis_TRINITY_DN10998_c0_g1.p2			
OG0036329	dis_TRINITY_DN10998_c0_g3.p3			
OG0036330	dis_TRINITY_DN10_c0_g3.p2			
OG0036331	dis_TRINITY_DN110055_c0_g1.p1			
OG0036332	dis_TRINITY_DN11006_c1_g3.p2			
OG0036333	dis_TRINITY_DN11006_c1_g4.p1			
OG0036334	dis_TRINITY_DN11008_c0_g1.p2			
OG0036335	dis_TRINITY_DN1100_c0_g1.p2			
OG0036336	dis_TRINITY_DN1100_c0_g1.p3			
OG0036337	dis_TRINITY_DN110129_c0_g1.p1			
OG0036338	dis_TRINITY_DN110150_c0_g1.p4			
OG0036339	dis_TRINITY_DN11026_c0_g1.p1			
OG0036340	dis_TRINITY_DN11028_c0_g2.p2			
OG0036341	dis_TRINITY_DN110296_c0_g1.p1			
OG0036342	dis_TRINITY_DN110296_c0_g1.p2			
OG0036343	dis_TRINITY_DN1102_c0_g2.p2			
OG0036344	dis_TRINITY_DN1102_c0_g2.p3			
OG0036345	dis_TRINITY_DN1102_c0_g2.p5			
OG0036346	dis_TRINITY_DN1102_c0_g2.p6			
OG0036347	dis_TRINITY_DN11030_c0_g1.p2			
OG0036348	dis_TRINITY_DN11030_c0_g1.p3			
OG0036349	dis_TRINITY_DN11033_c0_g1.p1			
OG0036350	dis_TRINITY_DN11036_c0_g1.p2			
OG0036351	dis_TRINITY_DN1103_c0_g3.p3			
OG0036352	dis_TRINITY_DN11044_c0_g1.p3			
OG0036353	dis_TRINITY_DN11044_c0_g1.p4			
OG0036354	dis_TRINITY_DN110503_c0_g1.p1			
OG0036355	dis_TRINITY_DN110503_c0_g1.p3			
OG0036356	dis_TRINITY_DN11050_c0_g1.p2			
OG0036357	dis_TRINITY_DN11050_c0_g1.p3			
OG0036358	dis_TRINITY_DN11056_c0_g1.p2			
OG0036359	dis_TRINITY_DN11060_c0_g1.p2			
OG0036360	dis_TRINITY_DN11067_c0_g1.p2			
OG0036361	dis_TRINITY_DN110687_c0_g1.p1			
OG0036362	dis_TRINITY_DN110687_c0_g1.p2			
OG0036363	dis_TRINITY_DN11068_c0_g1.p1			
OG0036364	dis_TRINITY_DN1106_c0_g1.p2			
OG0036365	dis_TRINITY_DN11070_c0_g1.p2			
OG0036366	dis_TRINITY_DN11071_c0_g1.p1			
OG0036367	dis_TRINITY_DN11076_c0_g1.p3			
OG0036368	dis_TRINITY_DN110777_c0_g1.p1			
OG0036369	dis_TRINITY_DN1107_c0_g1.p2			
OG0036370	dis_TRINITY_DN11081_c0_g3.p2			
OG0036371	dis_TRINITY_DN11082_c0_g2.p1			
OG0036372	dis_TRINITY_DN110_c0_g1.p3			
OG0036373	dis_TRINITY_DN11100_c0_g1.p3			
OG0036374	dis_TRINITY_DN11100_c0_g1.p4			
OG0036375	dis_TRINITY_DN111029_c0_g1.p1			
OG0036376	dis_TRINITY_DN11104_c0_g5.p1			
OG0036377	dis_TRINITY_DN11104_c0_g5.p2			
OG0036378	dis_TRINITY_DN111119_c0_g1.p1			
OG0036379	dis_TRINITY_DN111129_c0_g1.p4			
OG0036380	dis_TRINITY_DN11112_c0_g1.p2			
OG0036381	dis_TRINITY_DN11127_c0_g1.p1			
OG0036382	dis_TRINITY_DN11127_c0_g1.p2			
OG0036383	dis_TRINITY_DN11132_c0_g1.p1			
OG0036384	dis_TRINITY_DN11132_c0_g1.p2			
OG0036385	dis_TRINITY_DN11132_c0_g1.p3			
OG0036386	dis_TRINITY_DN111358_c0_g1.p1			
OG0036387	dis_TRINITY_DN11135_c0_g1.p2			
OG0036388	dis_TRINITY_DN11138_c0_g2.p4			
OG0036389	dis_TRINITY_DN11138_c0_g3.p3			
OG0036390	dis_TRINITY_DN11138_c0_g3.p4			
OG0036391	dis_TRINITY_DN11138_c0_g3.p5			
OG0036392	dis_TRINITY_DN11138_c0_g3.p6			
OG0036393	dis_TRINITY_DN11138_c0_g5.p2			
OG0036394	dis_TRINITY_DN11138_c0_g5.p3			
OG0036395	dis_TRINITY_DN11138_c0_g5.p4			
OG0036396	dis_TRINITY_DN11138_c0_g5.p5			
OG0036397	dis_TRINITY_DN1114_c0_g2.p2			
OG0036398	dis_TRINITY_DN1114_c0_g2.p3			
OG0036399	dis_TRINITY_DN1114_c0_g2.p5			
OG0036400	dis_TRINITY_DN11165_c0_g1.p3			
OG0036401	dis_TRINITY_DN1116_c0_g1.p2			
OG0036402	dis_TRINITY_DN111759_c0_g1.p2			
OG0036403	dis_TRINITY_DN11177_c0_g1.p1			
OG0036404	dis_TRINITY_DN11181_c0_g1.p2			
OG0036405	dis_TRINITY_DN11200_c0_g1.p3			
OG0036406	dis_TRINITY_DN11204_c0_g1.p1			
OG0036407	dis_TRINITY_DN11212_c0_g3.p2			
OG0036408	dis_TRINITY_DN11213_c0_g1.p1			
OG0036409	dis_TRINITY_DN11216_c0_g1.p1			
OG0036410	dis_TRINITY_DN11216_c0_g1.p2			
OG0036411	dis_TRINITY_DN11217_c0_g1.p1			
OG0036412	dis_TRINITY_DN11221_c0_g3.p3			
OG0036413	dis_TRINITY_DN11235_c0_g1.p3			
OG0036414	dis_TRINITY_DN11237_c0_g1.p2			
OG0036415	dis_TRINITY_DN1123_c0_g1.p3			
OG0036416	dis_TRINITY_DN1123_c0_g1.p4			
OG0036417	dis_TRINITY_DN1123_c0_g1.p5			
OG0036418	dis_TRINITY_DN112465_c0_g1.p1			
OG0036419	dis_TRINITY_DN112465_c0_g1.p2			
OG0036420	dis_TRINITY_DN11250_c0_g1.p2			
OG0036421	dis_TRINITY_DN11255_c0_g1.p2			
OG0036422	dis_TRINITY_DN11256_c0_g2.p2			
OG0036423	dis_TRINITY_DN1125_c0_g1.p5			
OG0036424	dis_TRINITY_DN112614_c0_g1.p1			
OG0036425	dis_TRINITY_DN11263_c3_g1.p1			
OG0036426	dis_TRINITY_DN11264_c0_g1.p1			
OG0036427	dis_TRINITY_DN11264_c0_g1.p2			
OG0036428	dis_TRINITY_DN11264_c0_g1.p3			
OG0036429	dis_TRINITY_DN112652_c0_g1.p1			
OG0036430	dis_TRINITY_DN11266_c0_g1.p5			
OG0036431	dis_TRINITY_DN11266_c0_g1.p7			
OG0036432	dis_TRINITY_DN11266_c0_g1.p8			
OG0036433	dis_TRINITY_DN11266_c0_g2.p2			
OG0036434	dis_TRINITY_DN11266_c0_g2.p3			
OG0036435	dis_TRINITY_DN11266_c0_g2.p4			
OG0036436	dis_TRINITY_DN11266_c0_g2.p5			
OG0036437	dis_TRINITY_DN11266_c0_g2.p6			
OG0036438	dis_TRINITY_DN11266_c0_g2.p7			
OG0036439	dis_TRINITY_DN11266_c0_g2.p8			
OG0036440	dis_TRINITY_DN11266_c0_g2.p9			
OG0036441	dis_TRINITY_DN11268_c0_g1.p2			
OG0036442	dis_TRINITY_DN11271_c0_g1.p2			
OG0036443	dis_TRINITY_DN11271_c0_g1.p3			
OG0036444	dis_TRINITY_DN112720_c0_g1.p1			
OG0036445	dis_TRINITY_DN1127_c0_g1.p2			
OG0036446	dis_TRINITY_DN1127_c0_g1.p3			
OG0036447	dis_TRINITY_DN1127_c0_g1.p4			
OG0036448	dis_TRINITY_DN11288_c0_g1.p2			
OG0036449	dis_TRINITY_DN11290_c0_g3.p5			
OG0036450	dis_TRINITY_DN1129_c0_g1.p3			
OG0036451	dis_TRINITY_DN1130_c0_g1.p3			
OG0036452	dis_TRINITY_DN1131_c0_g3.p2			
OG0036453	dis_TRINITY_DN11320_c0_g3.p1			
OG0036454	dis_TRINITY_DN11324_c0_g1.p2			
OG0036455	dis_TRINITY_DN11326_c0_g1.p2			
OG0036456	dis_TRINITY_DN1132_c0_g1.p2			
OG0036457	dis_TRINITY_DN11338_c0_g1.p2			
OG0036458	dis_TRINITY_DN11338_c0_g1.p3			
